Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Type,Maturity,index,implied Volatility
BABA231208C00055000,2023-12-06 3:57PM EST,55.0,16.55,17.15,17.3,0.0,-,4.0,127,234.38%,Call,2023-12-08,2,0.0
BABA231208C00060000,2023-12-07 2:09PM EST,60.0,12.25,12.15,12.25,0.0,-,4.0,25,140.63%,Call,2023-12-08,3,0.0
BABA231208C00063000,2023-12-07 9:48AM EST,63.0,9.15,9.15,9.3,0.0,-,6.0,9,128.13%,Call,2023-12-08,6,0.0
BABA231208C00065000,2023-12-08 9:44AM EST,65.0,7.4,7.1,7.25,0.05,+0.68%,43.0,135,112.50%,Call,2023-12-08,8,0.0
BABA231208C00066000,2023-12-07 2:18PM EST,66.0,6.3,6.1,6.25,0.0,-,15.0,56,98.83%,Call,2023-12-08,9,0.0
BABA231208C00068000,2023-12-08 10:46AM EST,68.0,4.2,4.2,4.3,-0.1,-2.33%,529.0,349,71.09%,Call,2023-12-08,11,0.0
BABA231208C00069000,2023-12-08 10:53AM EST,69.0,3.2,3.2,3.25,-0.18,-5.33%,117.0,341,50.78%,Call,2023-12-08,12,0.0
BABA231208C00070000,2023-12-08 10:54AM EST,70.0,2.28,2.14,2.25,-0.12,-5.00%,364.0,1258,42.58%,Call,2023-12-08,13,0.0
BABA231208C00071000,2023-12-08 10:42AM EST,71.0,1.23,1.18,1.26,-0.22,-15.17%,319.0,1055,28.32%,Call,2023-12-08,14,0.0
BABA231208C00072000,2023-12-08 10:56AM EST,72.0,0.29,0.32,0.35,-0.47,-61.84%,3404.0,7849,16.21%,Call,2023-12-08,15,0.0
BABA231208C00073000,2023-12-08 10:56AM EST,73.0,0.04,0.04,0.05,-0.3,-88.24%,8132.0,9673,19.34%,Call,2023-12-08,16,0.0
BABA231208C00074000,2023-12-08 10:48AM EST,74.0,0.01,0.01,0.02,-0.14,-93.33%,2463.0,9589,28.13%,Call,2023-12-08,17,0.0
BABA231208C00075000,2023-12-08 10:55AM EST,75.0,0.01,0.0,0.01,-0.06,-85.71%,2171.0,9897,35.94%,Call,2023-12-08,18,0.0
BABA231208C00076000,2023-12-08 10:33AM EST,76.0,0.01,0.0,0.01,-0.03,-75.00%,520.0,6524,45.31%,Call,2023-12-08,19,0.0
BABA231208C00077000,2023-12-08 10:49AM EST,77.0,0.01,0.0,0.01,-0.01,-50.00%,249.0,5190,50.00%,Call,2023-12-08,20,0.0
BABA231208C00078000,2023-12-08 10:39AM EST,78.0,0.01,0.0,0.01,-0.01,-50.00%,100.0,4771,59.38%,Call,2023-12-08,21,0.0
BABA231208C00079000,2023-12-08 9:53AM EST,79.0,0.01,0.0,0.01,0.0,-,15.0,2201,68.75%,Call,2023-12-08,22,0.0
BABA231208C00080000,2023-12-08 9:40AM EST,80.0,0.01,0.0,0.01,0.0,-,33.0,6850,75.00%,Call,2023-12-08,23,0.0
BABA231208C00082000,2023-12-08 10:32AM EST,82.0,0.01,0.0,0.01,0.0,-,6.0,2317,93.75%,Call,2023-12-08,25,0.0
BABA231208C00085000,2023-12-08 9:50AM EST,85.0,0.01,0.0,0.01,-0.02,-66.67%,39.0,2412,115.63%,Call,2023-12-08,28,0.0
BABA231208C00086000,2023-12-07 10:06AM EST,86.0,0.01,0.0,0.01,0.0,-,6.0,469,125.00%,Call,2023-12-08,29,0.0
BABA231208C00087000,2023-12-08 10:26AM EST,87.0,0.01,0.0,0.01,0.0,-,5.0,603,131.25%,Call,2023-12-08,30,0.0
BABA231208C00088000,2023-12-04 3:31PM EST,88.0,0.01,0.0,0.01,0.0,-,17.0,589,137.50%,Call,2023-12-08,31,0.0
BABA231208C00090000,2023-12-06 3:53PM EST,90.0,0.01,0.0,0.01,0.0,-,22.0,1522,150.00%,Call,2023-12-08,33,0.0
BABA231208C00091000,2023-12-04 11:06AM EST,91.0,0.01,0.0,0.01,0.0,-,8.0,202,156.25%,Call,2023-12-08,34,0.0
BABA231208C00092000,2023-12-07 11:36AM EST,92.0,0.01,0.0,0.75,0.0,-,31.0,1037,307.03%,Call,2023-12-08,35,0.0
BABA231208C00093000,2023-12-01 1:02PM EST,93.0,0.03,0.0,0.75,0.0,-,101.0,2193,317.19%,Call,2023-12-08,36,0.0
BABA231208C00096000,2023-12-07 2:37PM EST,96.0,0.04,0.0,0.01,0.0,-,5.0,484,187.50%,Call,2023-12-08,39,0.0
BABA231208C00098000,2023-11-27 3:01PM EST,98.0,0.02,0.0,0.01,0.0,-,94.0,98,200.00%,Call,2023-12-08,41,0.0
BABA231208C00101000,2023-11-27 10:52AM EST,101.0,0.01,0.0,0.01,0.0,-,12.0,24,218.75%,Call,2023-12-08,43,0.0
BABA231208C00103000,2023-11-24 12:35PM EST,103.0,0.02,0.0,0.01,0.0,-,10.0,10,231.25%,Call,2023-12-08,45,0.0
BABA231208C00110000,2023-11-17 12:40PM EST,110.0,0.06,0.0,0.36,0.0,-,5.0,73,410.16%,Call,2023-12-08,48,0.0
BABA231208C00115000,2023-11-20 12:33PM EST,115.0,0.02,0.0,0.25,0.0,-,8.0,36,421.09%,Call,2023-12-08,49,0.0
BABA231208C00135000,2023-11-24 12:31PM EST,135.0,0.02,0.0,0.3,0.0,-,5.0,7,550.78%,Call,2023-12-08,50,0.0
BABA231208P00045000,2023-12-01 9:53AM EST,45.0,0.01,0.0,0.02,0.0,-,4.0,20,331.25%,Put,2023-12-08,53,0.0
BABA231208P00050000,2023-12-01 12:04PM EST,50.0,0.01,0.0,0.02,0.0,-,51.0,106,262.50%,Put,2023-12-08,54,0.0
BABA231208P00055000,2023-12-01 9:32AM EST,55.0,0.08,0.0,0.08,0.0,-,200.0,372,237.50%,Put,2023-12-08,55,0.0
BABA231208P00060000,2023-12-06 11:28AM EST,60.0,0.01,0.0,0.02,0.0,-,20.0,1462,140.63%,Put,2023-12-08,56,0.0
BABA231208P00061000,2023-12-01 2:43PM EST,61.0,0.01,0.0,0.75,0.0,-,22.0,14,244.92%,Put,2023-12-08,57,0.0
BABA231208P00062000,2023-12-01 3:30PM EST,62.0,0.02,0.0,0.75,0.0,-,48.0,51,226.76%,Put,2023-12-08,58,0.0
BABA231208P00063000,2023-12-04 1:29PM EST,63.0,0.03,0.0,0.75,0.0,-,35.0,340,208.59%,Put,2023-12-08,59,0.0
BABA231208P00064000,2023-12-05 1:53PM EST,64.0,0.02,0.0,0.03,0.0,-,11.0,271,101.56%,Put,2023-12-08,60,0.0
BABA231208P00065000,2023-12-07 10:26AM EST,65.0,0.01,0.0,0.01,0.0,-,11.0,323,78.13%,Put,2023-12-08,61,0.0
BABA231208P00066000,2023-12-06 3:28PM EST,66.0,0.01,0.0,0.03,0.0,-,71.0,107,78.13%,Put,2023-12-08,62,0.0
BABA231208P00067000,2023-12-07 2:32PM EST,67.0,0.01,0.0,0.01,0.0,-,55.0,501,59.38%,Put,2023-12-08,63,0.0
BABA231208P00068000,2023-12-08 10:23AM EST,68.0,0.01,0.0,0.02,0.0,-,20.0,793,53.13%,Put,2023-12-08,64,0.0
BABA231208P00069000,2023-12-08 10:39AM EST,69.0,0.04,0.0,0.01,0.01,+33.33%,388.0,2781,40.63%,Put,2023-12-08,65,0.0
BABA231208P00070000,2023-12-08 10:47AM EST,70.0,0.01,0.0,0.02,-0.03,-75.00%,248.0,5964,33.59%,Put,2023-12-08,66,0.0
BABA231208P00071000,2023-12-08 10:43AM EST,71.0,0.02,0.02,0.03,-0.11,-84.62%,494.0,2771,22.46%,Put,2023-12-08,67,0.0
BABA231208P00072000,2023-12-08 10:55AM EST,72.0,0.14,0.11,0.14,-0.27,-65.85%,3264.0,4389,14.75%,Put,2023-12-08,68,0.0
BABA231208P00073000,2023-12-08 10:54AM EST,73.0,0.78,0.86,0.94,-0.24,-23.53%,363.0,2164,27.34%,Put,2023-12-08,69,0.0
BABA231208P00074000,2023-12-08 10:56AM EST,74.0,1.85,1.77,1.87,0.05,+2.78%,612.0,3317,35.94%,Put,2023-12-08,70,0.0
BABA231208P00075000,2023-12-08 10:49AM EST,75.0,2.87,2.78,2.89,0.16,+5.90%,146.0,2392,53.13%,Put,2023-12-08,71,0.0
BABA231208P00076000,2023-12-08 10:47AM EST,76.0,3.82,3.65,3.85,0.12,+3.24%,101.0,775,57.42%,Put,2023-12-08,72,0.0
BABA231208P00077000,2023-12-08 10:51AM EST,77.0,4.8,4.8,4.9,0.2,+4.35%,4.0,165,68.75%,Put,2023-12-08,73,0.0
BABA231208P00078000,2023-12-08 10:54AM EST,78.0,5.75,5.65,5.8,-0.01,-0.17%,9.0,243,0.00%,Put,2023-12-08,74,0.0
BABA231208P00079000,2023-12-08 10:44AM EST,79.0,6.88,6.75,6.9,-0.05,-0.72%,22.0,185,78.13%,Put,2023-12-08,75,0.0
BABA231208P00081000,2023-12-06 2:46PM EST,81.0,9.1,8.75,8.9,0.0,-,95.0,3,96.88%,Put,2023-12-08,77,0.0
BABA231208P00082000,2023-12-07 3:00PM EST,82.0,9.8,9.65,9.85,0.0,-,22.0,8,121.09%,Put,2023-12-08,78,0.0
BABA231208P00083000,2023-12-08 9:50AM EST,83.0,10.61,10.65,10.8,-0.14,-1.30%,37.0,46,0.00%,Put,2023-12-08,79,0.0
BABA231208P00086000,2023-12-07 3:13PM EST,86.0,13.85,13.75,13.85,0.0,-,171.0,32,157.81%,Put,2023-12-08,82,0.0
BABA231208P00087000,2023-12-06 2:38PM EST,87.0,14.9,14.65,14.85,0.0,-,29.0,0,167.19%,Put,2023-12-08,83,0.0
BABA231208P00088000,2023-12-01 3:40PM EST,88.0,13.98,15.8,15.9,0.0,-,37.0,0,175.00%,Put,2023-12-08,84,0.0
BABA231208P00090000,2023-12-04 10:36AM EST,90.0,17.0,17.75,18.15,0.0,-,30.0,0,233.59%,Put,2023-12-08,86,0.0
BABA231208P00091000,2023-11-29 9:36AM EST,91.0,15.87,18.75,18.9,0.0,-,4.0,0,178.13%,Put,2023-12-08,87,0.0
BABA231208P00092000,2023-12-06 2:46PM EST,92.0,19.95,19.75,19.8,0.0,-,258.0,0,0.00%,Put,2023-12-08,88,0.0
BABA231208P00093000,2023-11-16 1:31PM EST,93.0,14.14,20.75,20.85,0.0,-,40.0,0,215.63%,Put,2023-12-08,89,0.0
BABA231208P00105000,2023-10-30 2:58PM EST,105.0,21.84,30.2,30.35,0.0,-,15.0,0,0.00%,Put,2023-12-08,94,0.0
BABA231208P00110000,2023-10-30 2:25PM EST,110.0,26.74,35.15,35.35,0.0,-,16.0,0,0.00%,Put,2023-12-08,95,0.0
BABA231215C00040000,2023-11-24 11:36AM EST,40.0,38.5,32.2,32.35,0.0,-,50.0,81,186.33%,Call,2023-12-15,107,5.7232887824429595
BABA231215C00050000,2023-12-08 9:33AM EST,50.0,22.0,21.6,22.3,-0.35,-1.57%,10.0,163,127.34%,Call,2023-12-15,109,1.3255925157158031e-11
BABA231215C00060000,2023-12-07 2:20PM EST,60.0,12.4,12.3,12.4,0.0,-,4.0,153,76.56%,Call,2023-12-15,111,0.19097528901543342
BABA231215C00062000,2023-12-07 9:35AM EST,62.0,9.8,10.25,10.4,0.0,-,21.0,24,63.09%,Call,2023-12-15,113,1.881256541380602e-11
BABA231215C00064000,2023-12-06 11:32AM EST,64.0,8.55,8.3,8.45,0.0,-,5.0,5,56.06%,Call,2023-12-15,115,1.8804847707156627e-11
BABA231215C00068000,2023-12-08 10:13AM EST,68.0,4.55,4.3,4.45,-0.02,-0.44%,515.0,75,36.62%,Call,2023-12-15,119,0.04551446289893635
BABA231215C00069000,2023-12-08 10:17AM EST,69.0,3.75,3.45,3.55,0.05,+1.35%,21.0,115,34.08%,Call,2023-12-15,120,1.2244848669309803e-11
BABA231215C00070000,2023-12-08 10:54AM EST,70.0,2.75,2.66,2.77,-0.2,-6.78%,231.0,1754,33.64%,Call,2023-12-15,121,1.923120426122572e-11
BABA231215C00071000,2023-12-08 10:40AM EST,71.0,1.99,1.93,2.0,-0.24,-10.76%,279.0,1191,31.25%,Call,2023-12-15,122,1.1031016769129775e-11
BABA231215C00072000,2023-12-08 10:50AM EST,72.0,1.44,1.4,1.43,-0.18,-11.11%,705.0,1535,31.30%,Call,2023-12-15,123,0.14440082424397394
BABA231215C00073000,2023-12-08 10:54AM EST,73.0,1.0,0.98,1.02,-0.2,-16.67%,1849.0,3055,32.37%,Call,2023-12-15,124,0.2095328786982213
BABA231215C00074000,2023-12-08 10:54AM EST,74.0,0.67,0.64,0.68,-0.2,-22.99%,1165.0,8216,32.52%,Call,2023-12-15,125,0.24194149765667244
BABA231215C00075000,2023-12-08 10:54AM EST,75.0,0.46,0.43,0.44,-0.14,-23.33%,4247.0,21014,32.81%,Call,2023-12-15,126,0.2714943383897921
BABA231215C00076000,2023-12-08 10:53AM EST,76.0,0.29,0.28,0.31,-0.11,-27.50%,919.0,2477,34.47%,Call,2023-12-15,127,0.28679754767855853
BABA231215C00077000,2023-12-08 10:56AM EST,77.0,0.2,0.19,0.22,-0.09,-31.03%,602.0,4513,36.08%,Call,2023-12-15,128,0.30994850013822084
BABA231215C00078000,2023-12-08 10:47AM EST,78.0,0.13,0.14,0.15,-0.1,-43.48%,514.0,2341,37.21%,Call,2023-12-15,129,0.32549252106540244
BABA231215C00079000,2023-12-08 10:41AM EST,79.0,0.11,0.1,0.12,-0.03,-21.43%,61.0,2913,39.65%,Call,2023-12-15,130,0.3601036278676403
BABA231215C00080000,2023-12-08 10:52AM EST,80.0,0.08,0.08,0.09,-0.04,-33.33%,2067.0,34835,41.41%,Call,2023-12-15,131,0.3798207053157608
BABA231215C00081000,2023-12-08 10:40AM EST,81.0,0.07,0.07,0.08,-0.03,-30.00%,64.0,2002,44.34%,Call,2023-12-15,132,0.4114939900563153
BABA231215C00082000,2023-12-08 10:40AM EST,82.0,0.05,0.05,0.06,-0.02,-28.57%,129.0,873,45.70%,Call,2023-12-15,133,0.4259660786544643
BABA231215C00083000,2023-12-08 10:07AM EST,83.0,0.06,0.01,0.06,-0.02,-25.00%,12.0,1860,49.22%,Call,2023-12-15,134,0.4779020437642301
BABA231215C00084000,2023-12-08 10:47AM EST,84.0,0.04,0.03,0.04,-0.02,-33.33%,6.0,586,49.61%,Call,2023-12-15,135,0.4829583151358305
BABA231215C00085000,2023-12-08 10:32AM EST,85.0,0.03,0.03,0.04,-0.01,-25.00%,238.0,47450,51.56%,Call,2023-12-15,136,0.4965325451185458
BABA231215C00088000,2023-12-07 3:56PM EST,88.0,0.04,0.02,0.09,0.0,-,12.0,981,64.84%,Call,2023-12-15,139,0.6180458097888756
BABA231215C00089000,2023-12-06 3:53PM EST,89.0,0.03,0.0,0.05,0.0,-,14.0,85,60.94%,Call,2023-12-15,140,0.6248800028524987
BABA231215C00090000,2023-12-08 10:56AM EST,90.0,0.02,0.01,0.02,0.0,-,136.0,32967,60.16%,Call,2023-12-15,141,0.622441914240989
BABA231215C00091000,2023-12-07 3:12PM EST,91.0,0.02,0.0,0.05,0.0,-,120.0,212,66.41%,Call,2023-12-15,142,0.651317681173357
BABA231215C00092000,2023-12-05 11:01AM EST,92.0,0.01,0.0,0.06,0.0,-,16.0,124,70.70%,Call,2023-12-15,143,0.6283207808376191
BABA231215C00094000,2023-12-07 1:33PM EST,94.0,0.06,0.0,0.06,0.0,-,10.0,18,76.17%,Call,2023-12-15,145,0.8489126040862767
BABA231215C00096000,2023-12-06 2:02PM EST,96.0,0.01,0.0,0.08,0.0,-,100.0,104,84.38%,Call,2023-12-15,147,0.7309802364479776
BABA231215C00097000,2023-12-04 3:08PM EST,97.0,0.02,0.0,0.01,0.0,-,10.0,11,68.75%,Call,2023-12-15,148,0.8150247606580479
BABA231215C00099000,2023-12-01 12:59PM EST,99.0,0.03,0.0,0.08,0.0,-,100.0,100,92.19%,Call,2023-12-15,150,0.9088275203764056
BABA231215C00103000,2023-12-05 3:59PM EST,103.0,0.01,0.0,0.01,0.0,-,30.0,31,81.25%,Call,2023-12-15,154,0.8970170148785248
BABA231215C00105000,2023-12-08 9:47AM EST,105.0,0.02,0.0,0.02,0.01,+100.00%,10.0,9705,90.63%,Call,2023-12-15,155,1.0121290829241567
BABA231215C00110000,2023-12-08 10:27AM EST,110.0,0.01,0.0,0.01,0.0,-,11.0,18856,93.75%,Call,2023-12-15,158,1.0486884300477108
BABA231215C00115000,2023-12-08 10:32AM EST,115.0,0.01,0.0,0.01,0.0,-,52.0,9410,103.13%,Call,2023-12-15,159,1.149632782852873
BABA231215C00140000,2023-11-29 11:31AM EST,140.0,0.01,0.0,0.01,0.0,-,5.0,13072,143.75%,Call,2023-12-15,164,1.5838687227789128
BABA231215C00150000,2023-11-17 11:39AM EST,150.0,0.04,0.0,0.05,0.0,-,151.0,2497,179.69%,Call,2023-12-15,166,1.9797922132092878
BABA231215C00160000,2023-11-15 9:31AM EST,160.0,0.04,0.0,0.01,0.0,-,20.0,11177,168.75%,Call,2023-12-15,168,2.131554252369638
BABA231215C00170000,2023-11-07 10:32AM EST,170.0,0.05,0.0,0.08,0.0,-,200.0,836,215.63%,Call,2023-12-15,170,2.3264163666904976
BABA231215C00175000,2023-10-06 1:35PM EST,175.0,0.01,0.0,0.09,0.0,-,6.0,84,225.00%,Call,2023-12-15,171,2.0571597616407127
BABA231215P00020000,2023-05-22 10:39AM EST,20.0,0.04,0.01,0.0,0.0,-,10.0,0,287.50%,Put,2023-12-15,176,3.7666451509128365
BABA231215P00025000,2023-11-17 9:31AM EST,25.0,0.01,0.0,0.02,0.0,-,5.0,175,250.00%,Put,2023-12-15,177,2.7206732176334416
BABA231215P00030000,2023-10-20 9:47AM EST,30.0,0.04,0.0,0.09,0.0,-,25.0,340,246.88%,Put,2023-12-15,178,2.638566468355385
BABA231215P00045000,2023-11-30 12:06PM EST,45.0,0.02,0.0,0.03,0.0,-,47.0,430,121.88%,Put,2023-12-15,181,1.3918364580462237
