Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Type,Maturity,index,implied Volatility
AAPL231208C00100000,2023-12-07 3:46PM EST,100.0,94.1,94.8,95.05,0.0,-,7.0,21,517.19%,Call,2023-12-08,4,0.0
AAPL231208C00130000,2023-12-01 2:49PM EST,130.0,61.15,64.7,64.95,0.0,-,57.0,57,339.06%,Call,2023-12-08,7,0.0
AAPL231208C00155000,2023-12-07 3:21PM EST,155.0,39.33,39.8,40.05,0.0,-,20.0,62,197.66%,Call,2023-12-08,13,0.0
AAPL231208C00160000,2023-12-07 3:49PM EST,160.0,34.05,34.85,35.1,0.0,-,25.0,105,185.55%,Call,2023-12-08,15,0.0
AAPL231208C00165000,2023-12-07 3:47PM EST,165.0,29.15,29.85,30.1,0.0,-,7.0,76,160.55%,Call,2023-12-08,17,0.0
AAPL231208C00167500,2023-12-08 10:05AM EST,167.5,26.83,27.35,27.65,1.73,+6.89%,47.0,47,152.34%,Call,2023-12-08,18,0.0
AAPL231208C00170000,2023-12-08 10:06AM EST,170.0,24.6,24.8,25.15,0.28,+1.15%,79.0,631,135.55%,Call,2023-12-08,19,0.0
AAPL231208C00175000,2023-12-08 10:50AM EST,175.0,19.77,19.85,20.0,0.38,+1.96%,30.0,1071,102.73%,Call,2023-12-08,21,0.0
AAPL231208C00177500,2023-12-08 10:34AM EST,177.5,17.0,17.35,17.55,0.45,+2.72%,6.0,130,95.12%,Call,2023-12-08,22,0.0
AAPL231208C00180000,2023-12-08 10:51AM EST,180.0,14.82,14.85,15.0,0.57,+4.00%,111.0,2927,79.30%,Call,2023-12-08,23,0.0
AAPL231208C00182500,2023-12-08 10:43AM EST,182.5,11.89,12.4,12.55,0.07,+0.59%,39.0,715,73.83%,Call,2023-12-08,24,0.0
AAPL231208C00185000,2023-12-08 10:51AM EST,185.0,9.9,9.9,10.0,0.67,+7.26%,1296.0,6277,58.59%,Call,2023-12-08,25,0.0
AAPL231208C00187500,2023-12-08 10:52AM EST,187.5,7.42,7.4,7.5,0.62,+9.12%,231.0,5181,50.20%,Call,2023-12-08,26,0.0
AAPL231208C00190000,2023-12-08 10:53AM EST,190.0,4.99,4.9,5.05,0.68,+15.78%,1136.0,14007,39.16%,Call,2023-12-08,27,0.0
AAPL231208C00192500,2023-12-08 10:54AM EST,192.5,2.48,2.46,2.5,0.42,+20.39%,8480.0,20600,21.58%,Call,2023-12-08,28,0.0
AAPL231208C00195000,2023-12-08 10:54AM EST,195.0,0.38,0.36,0.38,-0.14,-26.92%,49853.0,36963,11.18%,Call,2023-12-08,29,0.0
