Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Type,Maturity,index,implied Volatility
META231208C00020000,2023-12-07 3:59PM EST,20.0,306.45,309.5,309.7,0.0,-,80.0,83,0.00%,Call,2023-12-08,0,0.0
META231208C00030000,2023-12-07 3:54PM EST,30.0,296.3,299.55,299.8,0.0,-,7.0,12,0.00%,Call,2023-12-08,1,0.0
META231208C00040000,2023-12-07 10:04AM EST,40.0,281.3,289.55,289.85,0.0,-,21.0,26,0.00%,Call,2023-12-08,2,0.0
META231208C00100000,2023-12-06 3:46PM EST,100.0,218.04,229.6,230.0,0.0,-,2.0,2,0.00%,Call,2023-12-08,6,0.0
META231208C00110000,2023-12-07 9:57AM EST,110.0,212.57,219.45,219.9,0.0,-,5.0,1,0.00%,Call,2023-12-08,7,0.0
META231208C00120000,2023-12-01 10:40AM EST,120.0,201.21,209.25,209.9,0.0,-,9.0,9,0.00%,Call,2023-12-08,8,0.0
META231208C00130000,2023-12-08 10:45AM EST,130.0,199.17,199.6,200.1,7.49,+3.91%,7.0,44,643.75%,Call,2023-12-08,9,0.0
META231208C00140000,2023-12-01 10:46AM EST,140.0,181.68,189.4,189.95,0.0,-,8.0,28,0.00%,Call,2023-12-08,10,0.0
META231208C00170000,2023-12-07 9:35AM EST,170.0,151.83,159.35,159.95,0.0,-,4.0,9,0.00%,Call,2023-12-08,13,0.0
META231208C00180000,2023-12-07 10:55AM EST,180.0,143.69,149.35,150.0,0.0,-,3.0,8,0.00%,Call,2023-12-08,14,0.0
META231208C00185000,2023-12-04 10:24AM EST,185.0,130.93,144.45,144.85,0.0,-,5.0,5,0.00%,Call,2023-12-08,15,0.0
META231208C00190000,2023-12-07 12:30PM EST,190.0,137.28,139.55,139.9,0.0,-,17.0,16,0.00%,Call,2023-12-08,16,0.0
META231208C00195000,2023-12-04 3:33PM EST,195.0,124.6,134.15,134.9,0.0,-,10.0,0,0.00%,Call,2023-12-08,17,0.0
META231208C00200000,2023-12-08 9:37AM EST,200.0,125.26,129.45,129.9,-1.68,-1.32%,2.0,5,0.00%,Call,2023-12-08,18,0.0
META231208C00205000,2023-12-04 3:33PM EST,205.0,114.6,124.05,124.9,0.0,-,10.0,2,0.00%,Call,2023-12-08,19,0.0
META231208C00210000,2023-12-04 12:31PM EST,210.0,109.23,119.6,120.05,0.0,-,14.0,0,275.00%,Call,2023-12-08,20,0.0
META231208C00230000,2023-12-07 2:45PM EST,230.0,97.23,99.4,99.95,0.0,-,660.0,788,0.00%,Call,2023-12-08,23,0.0
META231208C00235000,2023-12-04 3:36PM EST,235.0,84.65,94.55,95.1,0.0,-,20.0,23,253.13%,Call,2023-12-08,24,0.0
META231208C00240000,2023-12-07 11:03AM EST,240.0,83.69,89.55,90.05,0.0,-,2.0,3,198.44%,Call,2023-12-08,25,0.0
META231208C00250000,2023-12-06 12:50PM EST,250.0,69.62,79.55,80.1,0.0,-,10.0,28,210.94%,Call,2023-12-08,27,0.0
META231208C00255000,2023-12-04 3:35PM EST,255.0,64.8,74.6,74.95,0.0,-,20.0,21,0.00%,Call,2023-12-08,28,0.0
META231208C00260000,2023-12-07 3:05PM EST,260.0,66.58,69.5,70.0,0.0,-,73.0,71,0.00%,Call,2023-12-08,29,0.0
META231208C00265000,2023-12-05 12:37PM EST,265.0,52.54,64.5,65.25,0.0,-,2.0,25,201.17%,Call,2023-12-08,30,0.0
META231208C00270000,2023-12-07 3:37PM EST,270.0,57.18,59.35,59.95,0.0,-,6.0,39,0.00%,Call,2023-12-08,31,0.0
META231208C00275000,2023-12-07 3:59PM EST,275.0,51.68,54.6,54.95,0.0,-,6.0,137,0.00%,Call,2023-12-08,32,0.0
META231208C00290000,2023-12-08 10:40AM EST,290.0,38.95,39.45,40.35,2.05,+5.56%,2.0,48,136.72%,Call,2023-12-08,38,0.0
META231208C00292500,2023-12-05 2:25PM EST,292.5,25.4,37.05,37.5,0.0,-,4.0,8,0.00%,Call,2023-12-08,39,0.0
META231208C00295000,2023-12-07 11:33AM EST,295.0,30.64,34.15,34.9,0.0,-,2.0,60,0.00%,Call,2023-12-08,40,0.0
META231208C00300000,2023-12-08 10:53AM EST,300.0,29.41,29.6,29.95,2.11,+7.73%,226.0,410,0.00%,Call,2023-12-08,42,0.0
META231208C00305000,2023-12-08 10:55AM EST,305.0,24.8,24.2,24.9,2.57,+11.56%,7.0,156,0.00%,Call,2023-12-08,44,0.0
META231208C00307500,2023-12-07 1:24PM EST,307.5,20.0,21.9,22.5,0.0,-,2571.0,823,0.00%,Call,2023-12-08,45,0.0
META231208C00310000,2023-12-08 10:43AM EST,310.0,18.67,19.25,19.8,1.4,+8.11%,68.0,343,0.00%,Call,2023-12-08,46,0.0
META231208C00312500,2023-12-08 10:37AM EST,312.5,17.2,17.1,17.5,2.9,+20.28%,46.0,1205,0.00%,Call,2023-12-08,47,0.0
META231208C00315000,2023-12-08 10:37AM EST,315.0,13.9,14.35,14.9,2.03,+17.10%,69.0,1693,0.00%,Call,2023-12-08,48,0.0
META231208C00317500,2023-12-08 10:51AM EST,317.5,12.0,11.9,12.65,2.55,+26.98%,1582.0,1904,41.80%,Call,2023-12-08,49,0.0
META231208C00320000,2023-12-08 10:56AM EST,320.0,9.82,9.65,10.05,2.42,+32.70%,2244.0,3172,24.22%,Call,2023-12-08,50,0.0
META231208C00322500,2023-12-08 10:47AM EST,322.5,6.76,7.2,7.5,1.66,+32.55%,2698.0,1760,0.00%,Call,2023-12-08,51,0.0
META231208C00325000,2023-12-08 10:54AM EST,325.0,5.0,4.55,4.95,1.62,+47.93%,4797.0,6362,0.00%,Call,2023-12-08,52,0.0
META231208C00327500,2023-12-08 10:54AM EST,327.5,2.75,2.5,2.62,0.87,+46.28%,9627.0,3037,11.04%,Call,2023-12-08,53,0.0
