Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Type,Maturity,index
AAPL231208C00100000,2023-12-07 3:46PM EST,100.0,94.1,94.8,95.05,0.0,-,7.0,21,517.19%,Call,2023-12-08,4
AAPL231208C00130000,2023-12-01 2:49PM EST,130.0,61.15,64.7,64.95,0.0,-,57.0,57,339.06%,Call,2023-12-08,7
AAPL231208C00155000,2023-12-07 3:21PM EST,155.0,39.33,39.8,40.05,0.0,-,20.0,62,197.66%,Call,2023-12-08,13
AAPL231208C00160000,2023-12-07 3:49PM EST,160.0,34.05,34.85,35.1,0.0,-,25.0,105,185.55%,Call,2023-12-08,15
AAPL231208C00165000,2023-12-07 3:47PM EST,165.0,29.15,29.85,30.1,0.0,-,7.0,76,160.55%,Call,2023-12-08,17
AAPL231208C00167500,2023-12-08 10:05AM EST,167.5,26.83,27.35,27.65,1.73,+6.89%,47.0,47,152.34%,Call,2023-12-08,18
AAPL231208C00170000,2023-12-08 10:06AM EST,170.0,24.6,24.8,25.15,0.28,+1.15%,79.0,631,135.55%,Call,2023-12-08,19
AAPL231208C00175000,2023-12-08 10:50AM EST,175.0,19.77,19.85,20.0,0.38,+1.96%,30.0,1071,102.73%,Call,2023-12-08,21
AAPL231208C00177500,2023-12-08 10:34AM EST,177.5,17.0,17.35,17.55,0.45,+2.72%,6.0,130,95.12%,Call,2023-12-08,22
AAPL231208C00180000,2023-12-08 10:51AM EST,180.0,14.82,14.85,15.0,0.57,+4.00%,111.0,2927,79.30%,Call,2023-12-08,23
AAPL231208C00182500,2023-12-08 10:43AM EST,182.5,11.89,12.4,12.55,0.07,+0.59%,39.0,715,73.83%,Call,2023-12-08,24
AAPL231208C00185000,2023-12-08 10:51AM EST,185.0,9.9,9.9,10.0,0.67,+7.26%,1296.0,6277,58.59%,Call,2023-12-08,25
AAPL231208C00187500,2023-12-08 10:52AM EST,187.5,7.42,7.4,7.5,0.62,+9.12%,231.0,5181,50.20%,Call,2023-12-08,26
AAPL231208C00190000,2023-12-08 10:53AM EST,190.0,4.99,4.9,5.05,0.68,+15.78%,1136.0,14007,39.16%,Call,2023-12-08,27
AAPL231208C00192500,2023-12-08 10:54AM EST,192.5,2.48,2.46,2.5,0.42,+20.39%,8480.0,20600,21.58%,Call,2023-12-08,28
AAPL231208C00195000,2023-12-08 10:54AM EST,195.0,0.38,0.36,0.38,-0.14,-26.92%,49853.0,36963,11.18%,Call,2023-12-08,29
AAPL231208C00197500,2023-12-08 10:53AM EST,197.5,0.02,0.01,0.02,-0.05,-71.43%,14301.0,28996,14.26%,Call,2023-12-08,30
AAPL231208C00200000,2023-12-08 10:51AM EST,200.0,0.01,0.0,0.01,-0.01,-50.00%,890.0,28824,22.27%,Call,2023-12-08,31
AAPL231208C00202500,2023-12-08 9:52AM EST,202.5,0.01,0.0,0.01,0.0,-,29.0,8169,31.25%,Call,2023-12-08,32
AAPL231208C00207500,2023-12-06 10:06AM EST,207.5,0.01,0.0,0.01,0.0,-,102.0,243,48.44%,Call,2023-12-08,34
AAPL231208C00225000,2023-11-20 2:31PM EST,225.0,0.02,0.0,0.01,0.0,-,7.0,238,93.75%,Call,2023-12-08,40
AAPL231208C00235000,2023-11-16 9:51AM EST,235.0,0.02,0.0,0.01,0.0,-,30.0,150,118.75%,Call,2023-12-08,42
AAPL231208C00240000,2023-11-10 10:29AM EST,240.0,0.01,0.0,0.01,0.0,-,27.0,27,131.25%,Call,2023-12-08,43
AAPL231208P00050000,2023-12-05 2:52PM EST,50.0,0.01,0.0,0.01,0.0,-,319.0,323,775.00%,Put,2023-12-08,46
AAPL231208P00080000,2023-12-05 2:52PM EST,80.0,0.01,0.0,0.01,0.0,-,273.0,684,525.00%,Put,2023-12-08,51
AAPL231208P00085000,2023-12-05 2:52PM EST,85.0,0.01,0.0,0.01,0.0,-,112.0,624,487.50%,Put,2023-12-08,52
AAPL231208P00090000,2023-12-05 2:52PM EST,90.0,0.01,0.0,0.01,0.0,-,270.0,302,450.00%,Put,2023-12-08,53
AAPL231208P00100000,2023-12-05 2:52PM EST,100.0,0.01,0.0,0.01,0.0,-,1984.0,2168,393.75%,Put,2023-12-08,55
AAPL231208P00105000,2023-12-05 2:52PM EST,105.0,0.01,0.0,0.01,0.0,-,39.0,161,362.50%,Put,2023-12-08,56
AAPL231208P00110000,2023-12-05 2:52PM EST,110.0,0.01,0.0,0.01,0.0,-,31.0,615,337.50%,Put,2023-12-08,57
AAPL231208P00120000,2023-12-05 2:52PM EST,120.0,0.01,0.0,0.01,0.0,-,1027.0,1284,293.75%,Put,2023-12-08,59
AAPL231208P00125000,2023-12-05 2:52PM EST,125.0,0.01,0.0,0.01,0.0,-,681.0,1658,268.75%,Put,2023-12-08,60
AAPL231208P00130000,2023-12-05 2:52PM EST,130.0,0.01,0.0,0.01,0.0,-,478.0,3610,250.00%,Put,2023-12-08,61
AAPL231208P00135000,2023-12-05 2:52PM EST,135.0,0.01,0.0,0.01,0.0,-,135.0,5297,225.00%,Put,2023-12-08,62
AAPL231208P00145000,2023-12-07 1:58PM EST,145.0,0.01,0.0,0.01,0.0,-,5.0,1006,181.25%,Put,2023-12-08,64
AAPL231208P00150000,2023-12-04 11:40AM EST,150.0,0.01,0.0,0.01,0.0,-,6.0,2068,162.50%,Put,2023-12-08,66
AAPL231208P00152500,2023-12-01 3:05PM EST,152.5,0.01,0.0,0.01,0.0,-,10.0,44,156.25%,Put,2023-12-08,67
AAPL231208P00155000,2023-12-08 9:55AM EST,155.0,0.01,0.0,0.01,0.0,-,10.0,1068,143.75%,Put,2023-12-08,68
AAPL231208P00157500,2023-12-01 3:52PM EST,157.5,0.01,0.0,0.01,0.0,-,15.0,44,137.50%,Put,2023-12-08,69
AAPL231208P00160000,2023-12-07 9:36AM EST,160.0,0.01,0.0,0.01,0.0,-,7.0,1138,125.00%,Put,2023-12-08,70
AAPL231208P00162500,2023-12-05 3:51PM EST,162.5,0.01,0.0,0.01,0.0,-,1028.0,1063,118.75%,Put,2023-12-08,71
AAPL231208P00165000,2023-12-07 11:07AM EST,165.0,0.01,0.0,0.01,0.0,-,20.0,5985,109.38%,Put,2023-12-08,72
AAPL231208P00170000,2023-12-07 2:34PM EST,170.0,0.01,0.0,0.01,0.0,-,12.0,6908,90.63%,Put,2023-12-08,74
AAPL231208P00172500,2023-12-06 3:48PM EST,172.5,0.01,0.0,0.01,0.0,-,1741.0,2598,81.25%,Put,2023-12-08,75
AAPL231208P00175000,2023-12-08 10:03AM EST,175.0,0.01,0.0,0.01,0.0,-,57.0,6971,71.88%,Put,2023-12-08,76
AAPL231208P00177500,2023-12-08 10:21AM EST,177.5,0.01,0.0,0.01,0.0,-,16.0,3641,64.06%,Put,2023-12-08,77
AAPL231208P00180000,2023-12-08 9:59AM EST,180.0,0.01,0.0,0.01,0.0,-,38.0,15294,54.69%,Put,2023-12-08,78
AAPL231208P00182500,2023-12-08 10:51AM EST,182.5,0.01,0.0,0.01,-0.01,-50.00%,166.0,5457,50.00%,Put,2023-12-08,79
AAPL231208P00185000,2023-12-08 10:51AM EST,185.0,0.01,0.0,0.01,-0.02,-66.67%,118.0,18263,40.63%,Put,2023-12-08,80
AAPL231208P00187500,2023-12-08 10:51AM EST,187.5,0.01,0.0,0.01,-0.02,-66.67%,1004.0,15647,31.25%,Put,2023-12-08,81
AAPL231208P00190000,2023-12-08 10:54AM EST,190.0,0.01,0.0,0.01,-0.06,-85.71%,5048.0,32032,21.88%,Put,2023-12-08,82
AAPL231208P00192500,2023-12-08 10:53AM EST,192.5,0.03,0.02,0.03,-0.24,-88.89%,25269.0,24125,14.06%,Put,2023-12-08,83
AAPL231208P00195000,2023-12-08 10:54AM EST,195.0,0.4,0.4,0.41,-0.88,-68.75%,15241.0,8401,7.96%,Put,2023-12-08,84
AAPL231208P00197500,2023-12-08 10:49AM EST,197.5,2.77,2.61,2.64,-0.48,-14.77%,419.0,862,0.00%,Put,2023-12-08,85
AAPL231208P00200000,2023-12-08 10:44AM EST,200.0,5.4,5.05,5.15,-0.4,-6.90%,452.0,414,0.00%,Put,2023-12-08,86
AAPL231208P00202500,2023-12-07 3:57PM EST,202.5,8.2,7.5,7.7,0.0,-,31.0,7,38.09%,Put,2023-12-08,87
AAPL231208P00210000,2023-12-06 3:03PM EST,210.0,17.2,15.05,15.2,0.0,-,407.0,36,66.80%,Put,2023-12-08,90
AAPL231208P00215000,2023-12-07 10:21AM EST,215.0,20.35,20.0,20.25,0.0,-,101.0,1,94.92%,Put,2023-12-08,92
AAPL231208P00220000,2023-12-07 3:50PM EST,220.0,25.8,25.0,25.2,0.0,-,10.0,0,100.78%,Put,2023-12-08,94
AAPL231208P00235000,2023-12-07 3:57PM EST,235.0,40.74,39.95,40.15,0.0,-,40.0,0,0.00%,Put,2023-12-08,95
AAPL231215C00065000,2023-12-01 2:49PM EST,65.0,126.25,129.85,130.15,0.0,-,30.0,51,314.84%,Call,2023-12-15,98
AAPL231215C00095000,2023-12-04 3:49PM EST,95.0,94.65,99.85,100.15,0.0,-,12.0,558,212.11%,Call,2023-12-15,104
AAPL231215C00100000,2023-12-07 3:46PM EST,100.0,94.27,94.95,95.15,0.0,-,9.0,1042,205.47%,Call,2023-12-15,105
AAPL231215C00110000,2023-12-07 1:38PM EST,110.0,84.57,84.95,85.2,0.0,-,420.0,131,181.64%,Call,2023-12-15,107
AAPL231215C00115000,2023-11-29 10:57AM EST,115.0,76.33,79.85,80.1,0.0,-,5.0,1008,156.25%,Call,2023-12-15,108
AAPL231215C00120000,2023-12-06 3:14PM EST,120.0,72.77,74.95,75.2,0.0,-,6.0,164,156.64%,Call,2023-12-15,109
AAPL231215C00125000,2023-12-07 3:47PM EST,125.0,69.26,69.95,70.15,0.0,-,5.0,428,142.58%,Call,2023-12-15,110
AAPL231215C00155000,2023-12-07 3:55PM EST,155.0,39.26,39.95,40.2,-0.26,-0.66%,6000.0,14446,81.54%,Call,2023-12-15,116
AAPL231215C00160000,2023-12-08 9:57AM EST,160.0,34.0,35.05,35.45,-0.23,-0.67%,29.0,28118,79.69%,Call,2023-12-15,118
AAPL231215C00170000,2023-12-08 10:37AM EST,170.0,24.75,25.05,25.25,0.4,+1.64%,129.0,30508,55.81%,Call,2023-12-15,122
AAPL231215C00172500,2023-12-08 10:06AM EST,172.5,22.0,22.55,22.75,-0.12,-0.54%,5.0,66,50.93%,Call,2023-12-15,123
AAPL231215C00175000,2023-12-08 10:38AM EST,175.0,19.54,20.0,20.25,0.05,+0.26%,38.0,26815,48.98%,Call,2023-12-15,124
AAPL231215C00177500,2023-12-08 10:40AM EST,177.5,17.12,17.6,17.8,0.17,+1.00%,9.0,376,45.12%,Call,2023-12-15,125
AAPL231215C00180000,2023-12-08 10:50AM EST,180.0,15.05,15.15,15.25,0.5,+3.44%,495.0,40115,38.72%,Call,2023-12-15,126
AAPL231215C00182500,2023-12-08 10:38AM EST,182.5,12.15,12.65,12.75,0.03,+0.25%,49.0,1154,33.52%,Call,2023-12-15,127
AAPL231215C00185000,2023-12-08 10:50AM EST,185.0,10.08,10.0,10.3,0.41,+4.24%,456.0,34050,29.15%,Call,2023-12-15,128
AAPL231215C00187500,2023-12-08 10:37AM EST,187.5,7.16,7.8,7.9,-0.09,-1.24%,81.0,13575,25.17%,Call,2023-12-15,129
AAPL231215C00190000,2023-12-08 10:54AM EST,190.0,5.6,5.5,5.6,0.5,+9.80%,1471.0,75194,21.63%,Call,2023-12-15,130
AAPL231215C00192500,2023-12-08 10:53AM EST,192.5,3.5,3.5,3.55,0.25,+7.69%,2983.0,15123,19.09%,Call,2023-12-15,131
AAPL231215C00195000,2023-12-08 10:54AM EST,195.0,1.88,1.88,1.89,0.13,+7.43%,14046.0,41496,17.10%,Call,2023-12-15,132
AAPL231215C00197500,2023-12-08 10:54AM EST,197.5,0.83,0.82,0.83,0.01,+1.22%,4541.0,11921,16.11%,Call,2023-12-15,133
AAPL231215C00200000,2023-12-08 10:54AM EST,200.0,0.32,0.31,0.32,-0.03,-8.57%,7363.0,66521,16.02%,Call,2023-12-15,134
AAPL231215C00202500,2023-12-08 10:54AM EST,202.5,0.11,0.11,0.12,-0.05,-31.25%,1196.0,4200,16.55%,Call,2023-12-15,135
AAPL231215C00205000,2023-12-08 10:49AM EST,205.0,0.06,0.05,0.06,-0.03,-33.33%,1102.0,54796,18.16%,Call,2023-12-15,136
AAPL231215C00207500,2023-12-08 10:40AM EST,207.5,0.03,0.03,0.04,-0.01,-25.00%,119.0,1185,20.31%,Call,2023-12-15,137
AAPL231215C00210000,2023-12-08 10:21AM EST,210.0,0.02,0.02,0.03,-0.01,-33.33%,337.0,23890,22.66%,Call,2023-12-15,138
AAPL231215C00212500,2023-12-08 10:52AM EST,212.5,0.02,0.01,0.02,0.0,-,236.0,618,24.41%,Call,2023-12-15,139
AAPL231215C00215000,2023-12-08 10:52AM EST,215.0,0.02,0.01,0.02,0.0,-,30.0,15760,27.34%,Call,2023-12-15,140
AAPL231215C00220000,2023-12-07 1:33PM EST,220.0,0.01,0.0,0.01,0.0,-,9.0,18473,30.47%,Call,2023-12-15,142
AAPL231215C00225000,2023-12-05 3:59PM EST,225.0,0.01,0.0,0.01,0.0,-,5.0,18493,35.16%,Call,2023-12-15,143
AAPL231215C00230000,2023-12-08 9:30AM EST,230.0,0.01,0.0,0.01,0.0,-,300.0,13211,39.84%,Call,2023-12-15,144
AAPL231215C00235000,2023-12-05 11:46AM EST,235.0,0.01,0.0,0.01,0.0,-,60.0,11153,44.53%,Call,2023-12-15,145
AAPL231215C00240000,2023-12-05 1:42PM EST,240.0,0.01,0.0,0.01,0.0,-,7.0,4209,49.22%,Call,2023-12-15,146
AAPL231215C00245000,2023-11-16 10:01AM EST,245.0,0.01,0.0,0.01,0.0,-,20.0,1979,50.00%,Call,2023-12-15,147
AAPL231215C00260000,2023-11-01 1:45PM EST,260.0,0.01,0.0,0.01,0.0,-,5.0,1787,62.50%,Call,2023-12-15,150
AAPL231215C00265000,2023-11-01 1:45PM EST,265.0,0.01,0.0,0.01,0.0,-,6.0,1825,65.63%,Call,2023-12-15,151
AAPL231215C00270000,2023-11-01 1:44PM EST,270.0,0.01,0.0,0.01,0.0,-,7.0,1056,68.75%,Call,2023-12-15,152
AAPL231215C00275000,2023-10-12 8:34AM EST,275.0,0.01,0.0,0.01,0.0,-,14.0,1112,73.44%,Call,2023-12-15,153
AAPL231215C00280000,2023-12-05 2:27PM EST,280.0,0.01,0.0,0.01,0.0,-,100.0,1492,76.56%,Call,2023-12-15,154
AAPL231215C00285000,2023-10-10 11:27AM EST,285.0,0.01,0.0,0.01,0.0,-,40.0,265,79.69%,Call,2023-12-15,155
AAPL231215C00295000,2023-12-07 10:15AM EST,295.0,0.01,0.0,0.01,0.0,-,6.0,4851,87.50%,Call,2023-12-15,157
AAPL231215P00070000,2023-11-03 2:50PM EST,70.0,0.01,0.0,0.01,0.0,-,103.0,3949,212.50%,Put,2023-12-15,159
AAPL231215P00075000,2023-11-30 3:05PM EST,75.0,0.01,0.0,0.01,0.0,-,65.0,1202,196.88%,Put,2023-12-15,160
AAPL231215P00080000,2023-12-04 9:30AM EST,80.0,0.01,0.0,0.01,0.0,-,11.0,6740,184.38%,Put,2023-12-15,161
