Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Type,Maturity,index
AMZN231208C00070000,2023-12-08 10:14AM EST,70.0,76.85,76.6,76.75,0.6,+0.79%,7.0,32,570.31%,Call,2023-12-08,0
AMZN231208C00075000,2023-12-06 3:24PM EST,75.0,71.15,71.55,71.7,1.3,+1.86%,4.0,32,446.88%,Call,2023-12-08,1
AMZN231208C00080000,2023-12-08 10:00AM EST,80.0,66.15,66.6,66.75,-1.0,-1.49%,6.0,6,475.00%,Call,2023-12-08,2
AMZN231208C00085000,2023-12-07 11:48AM EST,85.0,62.05,61.5,61.75,0.0,-,12.0,0,368.75%,Call,2023-12-08,3
AMZN231208C00090000,2023-12-07 1:47PM EST,90.0,57.2,56.5,56.8,0.0,-,40.0,13,368.75%,Call,2023-12-08,4
AMZN231208C00095000,2023-12-06 10:12AM EST,95.0,51.25,51.5,51.8,0.0,-,4.0,2,331.25%,Call,2023-12-08,5
AMZN231208C00107000,2023-12-06 11:32AM EST,107.0,38.35,39.6,40.1,0.0,-,4.0,4,319.14%,Call,2023-12-08,8
AMZN231208C00108000,2023-11-10 3:59PM EST,108.0,36.12,38.35,38.8,0.0,-,11.0,7,299.22%,Call,2023-12-08,9
AMZN231208C00111000,2023-12-07 3:16PM EST,111.0,35.76,35.5,35.95,0.0,-,4.0,3,255.08%,Call,2023-12-08,12
AMZN231208C00116000,2023-12-07 10:09AM EST,116.0,30.43,30.35,30.85,0.14,+0.46%,70.0,77,248.05%,Call,2023-12-08,17
AMZN231208C00118000,2023-12-06 10:39AM EST,118.0,27.67,28.4,28.6,0.0,-,5.0,24,0.00%,Call,2023-12-08,19
AMZN231208C00120000,2023-12-08 9:40AM EST,120.0,26.0,26.4,26.75,-0.92,-3.42%,5.0,50,198.05%,Call,2023-12-08,21
AMZN231208C00121000,2023-12-06 3:50PM EST,121.0,23.7,25.45,25.9,0.0,-,4.0,33,169.53%,Call,2023-12-08,22
AMZN231208C00123000,2023-12-08 10:25AM EST,123.0,23.8,23.4,23.55,0.38,+1.62%,23.0,13,0.00%,Call,2023-12-08,24
AMZN231208C00125000,2023-12-08 10:42AM EST,125.0,21.2,21.5,21.65,-0.45,-2.08%,45.0,145,135.16%,Call,2023-12-08,26
AMZN231208C00126000,2023-12-08 10:25AM EST,126.0,20.8,20.45,20.65,0.07,+0.34%,7.0,85,128.91%,Call,2023-12-08,27
AMZN231208C00127000,2023-12-08 9:45AM EST,127.0,19.5,19.55,19.7,0.07,+0.36%,6.0,47,109.38%,Call,2023-12-08,28
AMZN231208C00128000,2023-12-07 3:36PM EST,128.0,18.47,18.45,18.65,0.0,-,7.0,134,117.19%,Call,2023-12-08,29
AMZN231208C00129000,2023-12-07 2:24PM EST,129.0,18.02,17.55,17.75,-0.18,-0.99%,4.0,136,111.72%,Call,2023-12-08,30
AMZN231208C00130000,2023-12-08 10:38AM EST,130.0,16.2,16.55,16.75,-0.85,-4.99%,19.0,211,105.47%,Call,2023-12-08,31
AMZN231208C00131000,2023-12-08 10:42AM EST,131.0,15.11,15.6,15.75,-1.34,-8.15%,21.0,111,107.03%,Call,2023-12-08,32
AMZN231208C00132000,2023-12-08 10:39AM EST,132.0,14.2,14.45,14.65,-0.63,-4.25%,77.0,210,93.75%,Call,2023-12-08,33
AMZN231208C00133000,2023-12-08 10:26AM EST,133.0,13.81,13.55,13.75,0.01,+0.07%,18.0,432,88.28%,Call,2023-12-08,34
AMZN231208C00134000,2023-12-08 10:46AM EST,134.0,12.38,12.45,12.6,-0.44,-3.43%,52.0,432,0.00%,Call,2023-12-08,35
AMZN231208C00135000,2023-12-08 10:38AM EST,135.0,11.25,11.55,11.75,-0.5,-4.26%,22.0,704,76.56%,Call,2023-12-08,36
AMZN231208C00136000,2023-12-08 10:40AM EST,136.0,10.18,10.5,10.65,0.1,+0.99%,152.0,709,70.31%,Call,2023-12-08,37
AMZN231208C00137000,2023-12-08 10:35AM EST,137.0,9.45,9.55,9.7,-0.35,-3.57%,39.0,518,56.25%,Call,2023-12-08,38
AMZN231208C00138000,2023-12-08 10:46AM EST,138.0,8.41,8.6,8.7,-0.34,-3.89%,78.0,680,58.59%,Call,2023-12-08,39
AMZN231208C00139000,2023-12-08 10:50AM EST,139.0,7.55,7.5,7.6,-0.07,-0.92%,62.0,982,0.00%,Call,2023-12-08,40
AMZN231208C00140000,2023-12-08 10:45AM EST,140.0,6.45,6.65,6.75,-0.16,-2.42%,282.0,1708,54.30%,Call,2023-12-08,41
AMZN231208C00141000,2023-12-08 10:46AM EST,141.0,5.37,5.5,5.65,-0.47,-8.05%,183.0,1414,40.63%,Call,2023-12-08,42
AMZN231208C00142000,2023-12-08 10:47AM EST,142.0,4.42,4.65,4.8,-0.38,-7.92%,102.0,2103,49.02%,Call,2023-12-08,43
AMZN231208C00143000,2023-12-08 10:47AM EST,143.0,3.44,3.5,3.65,-0.46,-11.79%,363.0,2770,28.13%,Call,2023-12-08,44
