Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Type,Maturity,index
GOOGL231208C00060000,2023-12-07 3:29PM EST,60.0,77.15,75.25,75.4,0.0,-,5.0,6,659.38%,Call,2023-12-08,2
GOOGL231208C00114000,2023-12-07 3:42PM EST,114.0,22.8,21.3,21.65,0.0,-,18.0,20,194.53%,Call,2023-12-08,12
GOOGL231208C00118000,2023-12-07 3:42PM EST,118.0,18.8,17.4,17.6,0.0,-,5.0,59,165.43%,Call,2023-12-08,16
GOOGL231208C00120000,2023-12-07 10:46AM EST,120.0,16.94,15.15,15.7,0.0,-,23.0,94,139.06%,Call,2023-12-08,18
GOOGL231208C00122000,2023-12-06 10:06AM EST,122.0,9.27,13.4,13.95,0.0,-,7.0,39,149.80%,Call,2023-12-08,20
GOOGL231208C00124000,2023-12-07 9:35AM EST,124.0,13.34,11.35,11.55,0.0,-,5.0,180,110.55%,Call,2023-12-08,22
GOOGL231208C00125000,2023-12-08 9:57AM EST,125.0,9.61,10.4,10.9,-3.4,-26.13%,20.0,440,120.70%,Call,2023-12-08,23
GOOGL231208C00126000,2023-12-08 10:35AM EST,126.0,9.35,8.95,10.0,-1.53,-14.06%,6.0,57,96.88%,Call,2023-12-08,24
GOOGL231208C00128000,2023-12-08 10:53AM EST,128.0,7.64,7.35,7.55,-1.34,-14.92%,32.0,1307,77.93%,Call,2023-12-08,26
GOOGL231208C00129000,2023-12-08 10:35AM EST,129.0,6.27,6.2,6.7,-1.53,-19.62%,27.0,2195,69.53%,Call,2023-12-08,27
GOOGL231208C00130000,2023-12-08 10:42AM EST,130.0,5.1,5.4,5.6,-1.68,-24.78%,127.0,3079,64.65%,Call,2023-12-08,28
GOOGL231208C00131000,2023-12-08 10:48AM EST,131.0,4.18,4.4,4.8,-1.77,-29.75%,111.0,4993,61.72%,Call,2023-12-08,29
GOOGL231208C00132000,2023-12-08 10:50AM EST,132.0,3.15,3.45,3.6,-1.9,-37.62%,1314.0,7573,51.86%,Call,2023-12-08,30
GOOGL231208C00133000,2023-12-08 10:54AM EST,133.0,2.47,2.47,2.58,-1.63,-39.76%,6332.0,8753,40.43%,Call,2023-12-08,31
GOOGL231208C00134000,2023-12-08 10:54AM EST,134.0,1.55,1.47,1.63,-1.45,-48.33%,8923.0,11325,31.35%,Call,2023-12-08,32
GOOGL231208C00135000,2023-12-08 10:55AM EST,135.0,0.74,0.7,0.73,-1.53,-67.40%,19961.0,15626,21.58%,Call,2023-12-08,33
GOOGL231208C00136000,2023-12-08 10:54AM EST,136.0,0.21,0.22,0.23,-1.34,-86.45%,34072.0,12753,18.65%,Call,2023-12-08,34
GOOGL231208C00137000,2023-12-08 10:54AM EST,137.0,0.06,0.07,0.08,-0.91,-93.81%,12263.0,7935,20.51%,Call,2023-12-08,35
GOOGL231208C00138000,2023-12-08 10:52AM EST,138.0,0.03,0.02,0.03,-0.55,-94.83%,3868.0,7046,22.85%,Call,2023-12-08,36
GOOGL231208C00139000,2023-12-08 10:46AM EST,139.0,0.01,0.01,0.02,-0.33,-97.06%,2175.0,5839,27.34%,Call,2023-12-08,37
GOOGL231208C00140000,2023-12-08 10:54AM EST,140.0,0.01,0.0,0.01,-0.18,-94.74%,2040.0,14353,29.69%,Call,2023-12-08,38
GOOGL231208C00141000,2023-12-08 10:26AM EST,141.0,0.01,0.0,0.01,-0.09,-90.00%,83.0,2857,35.16%,Call,2023-12-08,39
GOOGL231208C00142000,2023-12-08 10:09AM EST,142.0,0.01,0.0,0.01,-0.06,-85.71%,44.0,5122,40.63%,Call,2023-12-08,40
GOOGL231208C00144000,2023-12-07 3:36PM EST,144.0,0.02,0.0,0.01,0.0,-,1698.0,1788,50.00%,Call,2023-12-08,42
GOOGL231208C00146000,2023-12-07 3:17PM EST,146.0,0.02,0.0,0.01,0.0,-,1687.0,1347,54.69%,Call,2023-12-08,44
GOOGL231208C00147000,2023-12-07 10:42AM EST,147.0,0.01,0.0,0.01,0.0,-,332.0,625,59.38%,Call,2023-12-08,45
GOOGL231208C00148000,2023-12-07 3:55PM EST,148.0,0.01,0.0,0.01,0.0,-,605.0,481,62.50%,Call,2023-12-08,46
GOOGL231208C00149000,2023-12-07 2:07PM EST,149.0,0.02,0.0,0.01,0.0,-,286.0,292,68.75%,Call,2023-12-08,47
GOOGL231208C00150000,2023-12-07 1:13PM EST,150.0,0.01,0.0,0.01,0.0,-,403.0,723,71.88%,Call,2023-12-08,48
GOOGL231208C00157500,2023-11-27 12:07PM EST,157.5,0.01,0.0,0.01,0.0,-,5.0,269,103.13%,Call,2023-12-08,51
GOOGL231208C00160000,2023-11-17 3:21PM EST,160.0,0.03,0.0,0.01,0.0,-,31.0,131,112.50%,Call,2023-12-08,52
GOOGL231208C00175000,2023-11-17 10:50AM EST,175.0,0.01,0.0,0.01,0.0,-,110.0,112,162.50%,Call,2023-12-08,55
GOOGL231208P00095000,2023-11-17 10:48AM EST,95.0,0.01,0.0,0.01,0.0,-,20.0,29,225.00%,Put,2023-12-08,63
GOOGL231208P00100000,2023-12-04 2:12PM EST,100.0,0.01,0.0,0.01,0.0,-,6.0,47,193.75%,Put,2023-12-08,64
GOOGL231208P00110000,2023-12-06 11:09AM EST,110.0,0.01,0.0,0.01,0.0,-,1250.0,1634,137.50%,Put,2023-12-08,66
GOOGL231208P00112000,2023-12-04 12:01PM EST,112.0,0.01,0.0,0.01,0.0,-,6.0,62,125.00%,Put,2023-12-08,68
GOOGL231208P00113000,2023-12-05 11:54AM EST,113.0,0.01,0.0,0.01,0.0,-,84.0,1368,118.75%,Put,2023-12-08,69
GOOGL231208P00114000,2023-12-04 10:56AM EST,114.0,0.02,0.0,0.01,0.0,-,101.0,543,115.63%,Put,2023-12-08,70
GOOGL231208P00115000,2023-12-04 2:39PM EST,115.0,0.01,0.0,0.01,0.0,-,920.0,1203,109.38%,Put,2023-12-08,71
GOOGL231208P00116000,2023-12-04 1:40PM EST,116.0,0.02,0.0,0.01,0.0,-,11.0,248,103.13%,Put,2023-12-08,72
GOOGL231208P00117000,2023-12-05 2:01PM EST,117.0,0.01,0.0,0.01,0.0,-,62.0,130,96.88%,Put,2023-12-08,73
GOOGL231208P00118000,2023-12-06 1:13PM EST,118.0,0.01,0.0,0.01,0.0,-,6.0,330,93.75%,Put,2023-12-08,74
GOOGL231208P00120000,2023-12-07 3:58PM EST,120.0,0.01,0.0,0.01,0.0,-,9.0,610,84.38%,Put,2023-12-08,76
GOOGL231208P00122000,2023-12-07 2:11PM EST,122.0,0.01,0.0,0.01,0.0,-,333.0,1059,71.88%,Put,2023-12-08,78
GOOGL231208P00123000,2023-12-07 11:21AM EST,123.0,0.01,0.0,0.01,0.0,-,109.0,364,67.19%,Put,2023-12-08,79
GOOGL231208P00124000,2023-12-08 9:30AM EST,124.0,0.01,0.0,0.01,0.0,-,11.0,805,62.50%,Put,2023-12-08,80
GOOGL231208P00125000,2023-12-07 3:21PM EST,125.0,0.01,0.0,0.01,0.0,-,481.0,1721,56.25%,Put,2023-12-08,81
GOOGL231208P00126000,2023-12-08 10:35AM EST,126.0,0.01,0.0,0.01,0.0,-,12.0,5399,51.56%,Put,2023-12-08,82
GOOGL231208P00127000,2023-12-08 10:03AM EST,127.0,0.01,0.0,0.01,0.0,-,26.0,3123,50.00%,Put,2023-12-08,83
GOOGL231208P00128000,2023-12-08 10:37AM EST,128.0,0.01,0.0,0.01,-0.01,-50.00%,96.0,3495,45.31%,Put,2023-12-08,84
GOOGL231208P00129000,2023-12-08 10:48AM EST,129.0,0.01,0.0,0.01,-0.01,-50.00%,80.0,2373,39.06%,Put,2023-12-08,85
GOOGL231208P00130000,2023-12-08 10:12AM EST,130.0,0.01,0.0,0.01,-0.02,-66.67%,165.0,3657,33.59%,Put,2023-12-08,86
GOOGL231208P00131000,2023-12-08 10:16AM EST,131.0,0.01,0.0,0.01,-0.03,-75.00%,408.0,1930,28.13%,Put,2023-12-08,87
GOOGL231208P00132000,2023-12-08 10:46AM EST,132.0,0.02,0.01,0.02,-0.04,-66.67%,4908.0,2249,24.61%,Put,2023-12-08,88
GOOGL231208P00133000,2023-12-08 10:51AM EST,133.0,0.03,0.02,0.03,-0.05,-62.50%,3569.0,2569,19.53%,Put,2023-12-08,89
GOOGL231208P00134000,2023-12-08 10:55AM EST,134.0,0.06,0.06,0.06,-0.08,-57.14%,12709.0,13999,14.75%,Put,2023-12-08,90
GOOGL231208P00135000,2023-12-08 10:55AM EST,135.0,0.21,0.21,0.22,-0.08,-27.59%,11459.0,23102,11.43%,Put,2023-12-08,91
GOOGL231208P00136000,2023-12-08 10:54AM EST,136.0,0.76,0.72,0.75,0.24,+46.15%,3829.0,11520,0.00%,Put,2023-12-08,92
GOOGL231208P00137000,2023-12-08 10:55AM EST,137.0,1.53,1.55,1.65,0.56,+57.73%,1005.0,3173,0.00%,Put,2023-12-08,93
GOOGL231208P00138000,2023-12-08 10:38AM EST,138.0,2.92,2.12,2.65,1.22,+71.76%,2168.0,2538,0.00%,Put,2023-12-08,94
GOOGL231208P00139000,2023-12-08 10:15AM EST,139.0,3.29,3.4,3.6,0.78,+31.08%,15.0,213,0.00%,Put,2023-12-08,95
GOOGL231208P00140000,2023-12-08 10:38AM EST,140.0,4.93,4.45,5.1,1.74,+54.55%,2046.0,2135,62.21%,Put,2023-12-08,96
GOOGL231208P00141000,2023-12-08 9:51AM EST,141.0,6.1,5.4,5.65,2.15,+54.43%,23.0,35,0.00%,Put,2023-12-08,97
GOOGL231208P00145000,2023-12-07 11:23AM EST,145.0,9.0,9.1,10.0,0.0,-,14.0,0,92.77%,Put,2023-12-08,101
GOOGL231215C00015000,2023-12-07 1:21PM EST,15.0,122.25,119.8,121.85,0.0,-,20.0,138,807.42%,Call,2023-12-15,111
GOOGL231215C00017500,2023-09-27 8:58AM EST,17.5,112.12,102.75,105.4,0.0,-,4.0,186,0.00%,Call,2023-12-15,112
GOOGL231215C00020000,2023-10-04 9:04AM EST,20.0,113.37,107.25,110.55,0.0,-,4.0,406,0.00%,Call,2023-12-15,113
GOOGL231215C00022500,2023-10-24 11:33AM EST,22.5,115.7,114.55,116.4,0.0,-,4.0,225,914.84%,Call,2023-12-15,114
GOOGL231215C00050000,2023-12-07 2:58PM EST,50.0,87.01,84.5,86.6,0.0,-,16.0,218,334.77%,Call,2023-12-15,120
GOOGL231215C00055000,2023-08-25 2:58PM EST,55.0,76.02,74.2,78.2,0.0,-,96.0,54,0.00%,Call,2023-12-15,121
GOOGL231215C00060000,2023-11-28 9:35AM EST,60.0,76.1,74.65,76.75,0.0,-,12.0,103,295.90%,Call,2023-12-15,122
GOOGL231215C00075000,2023-11-29 10:21AM EST,75.0,62.0,59.1,61.15,0.0,-,4.0,20,253.61%,Call,2023-12-15,125
GOOGL231215C00080000,2023-12-07 3:45PM EST,80.0,56.76,54.85,56.35,0.0,-,10.0,177,192.77%,Call,2023-12-15,126
GOOGL231215C00085000,2023-11-29 11:34AM EST,85.0,50.69,50.15,51.5,0.0,-,5.0,17,189.26%,Call,2023-12-15,127
GOOGL231215C00110000,2023-12-07 3:20PM EST,110.0,27.57,24.1,27.0,0.0,-,7.0,3550,85.35%,Call,2023-12-15,132
GOOGL231215C00115000,2023-12-08 10:29AM EST,115.0,20.97,19.25,22.05,-1.45,-6.47%,7.0,2515,74.41%,Call,2023-12-15,134
GOOGL231215C00120000,2023-12-08 10:43AM EST,120.0,15.39,14.0,16.15,-2.01,-11.55%,17.0,5595,72.90%,Call,2023-12-15,139
