Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Type,Maturity,index
META231208C00020000,2023-12-07 3:59PM EST,20.0,306.45,309.5,309.7,0.0,-,80.0,83,0.00%,Call,2023-12-08,0
META231208C00030000,2023-12-07 3:54PM EST,30.0,296.3,299.55,299.8,0.0,-,7.0,12,0.00%,Call,2023-12-08,1
META231208C00040000,2023-12-07 10:04AM EST,40.0,281.3,289.55,289.85,0.0,-,21.0,26,0.00%,Call,2023-12-08,2
META231208C00100000,2023-12-06 3:46PM EST,100.0,218.04,229.6,230.0,0.0,-,2.0,2,0.00%,Call,2023-12-08,6
META231208C00110000,2023-12-07 9:57AM EST,110.0,212.57,219.45,219.9,0.0,-,5.0,1,0.00%,Call,2023-12-08,7
META231208C00120000,2023-12-01 10:40AM EST,120.0,201.21,209.25,209.9,0.0,-,9.0,9,0.00%,Call,2023-12-08,8
META231208C00130000,2023-12-08 10:45AM EST,130.0,199.17,199.6,200.1,7.49,+3.91%,7.0,44,643.75%,Call,2023-12-08,9
META231208C00140000,2023-12-01 10:46AM EST,140.0,181.68,189.4,189.95,0.0,-,8.0,28,0.00%,Call,2023-12-08,10
META231208C00170000,2023-12-07 9:35AM EST,170.0,151.83,159.35,159.95,0.0,-,4.0,9,0.00%,Call,2023-12-08,13
META231208C00180000,2023-12-07 10:55AM EST,180.0,143.69,149.35,150.0,0.0,-,3.0,8,0.00%,Call,2023-12-08,14
META231208C00185000,2023-12-04 10:24AM EST,185.0,130.93,144.45,144.85,0.0,-,5.0,5,0.00%,Call,2023-12-08,15
META231208C00190000,2023-12-07 12:30PM EST,190.0,137.28,139.55,139.9,0.0,-,17.0,16,0.00%,Call,2023-12-08,16
META231208C00195000,2023-12-04 3:33PM EST,195.0,124.6,134.15,134.9,0.0,-,10.0,0,0.00%,Call,2023-12-08,17
META231208C00200000,2023-12-08 9:37AM EST,200.0,125.26,129.45,129.9,-1.68,-1.32%,2.0,5,0.00%,Call,2023-12-08,18
META231208C00205000,2023-12-04 3:33PM EST,205.0,114.6,124.05,124.9,0.0,-,10.0,2,0.00%,Call,2023-12-08,19
META231208C00210000,2023-12-04 12:31PM EST,210.0,109.23,119.6,120.05,0.0,-,14.0,0,275.00%,Call,2023-12-08,20
META231208C00230000,2023-12-07 2:45PM EST,230.0,97.23,99.4,99.95,0.0,-,660.0,788,0.00%,Call,2023-12-08,23
META231208C00235000,2023-12-04 3:36PM EST,235.0,84.65,94.55,95.1,0.0,-,20.0,23,253.13%,Call,2023-12-08,24
META231208C00240000,2023-12-07 11:03AM EST,240.0,83.69,89.55,90.05,0.0,-,2.0,3,198.44%,Call,2023-12-08,25
META231208C00250000,2023-12-06 12:50PM EST,250.0,69.62,79.55,80.1,0.0,-,10.0,28,210.94%,Call,2023-12-08,27
META231208C00255000,2023-12-04 3:35PM EST,255.0,64.8,74.6,74.95,0.0,-,20.0,21,0.00%,Call,2023-12-08,28
META231208C00260000,2023-12-07 3:05PM EST,260.0,66.58,69.5,70.0,0.0,-,73.0,71,0.00%,Call,2023-12-08,29
META231208C00265000,2023-12-05 12:37PM EST,265.0,52.54,64.5,65.25,0.0,-,2.0,25,201.17%,Call,2023-12-08,30
META231208C00270000,2023-12-07 3:37PM EST,270.0,57.18,59.35,59.95,0.0,-,6.0,39,0.00%,Call,2023-12-08,31
META231208C00275000,2023-12-07 3:59PM EST,275.0,51.68,54.6,54.95,0.0,-,6.0,137,0.00%,Call,2023-12-08,32
META231208C00290000,2023-12-08 10:40AM EST,290.0,38.95,39.45,40.35,2.05,+5.56%,2.0,48,136.72%,Call,2023-12-08,38
META231208C00292500,2023-12-05 2:25PM EST,292.5,25.4,37.05,37.5,0.0,-,4.0,8,0.00%,Call,2023-12-08,39
META231208C00295000,2023-12-07 11:33AM EST,295.0,30.64,34.15,34.9,0.0,-,2.0,60,0.00%,Call,2023-12-08,40
META231208C00300000,2023-12-08 10:53AM EST,300.0,29.41,29.6,29.95,2.11,+7.73%,226.0,410,0.00%,Call,2023-12-08,42
META231208C00305000,2023-12-08 10:55AM EST,305.0,24.8,24.2,24.9,2.57,+11.56%,7.0,156,0.00%,Call,2023-12-08,44
META231208C00307500,2023-12-07 1:24PM EST,307.5,20.0,21.9,22.5,0.0,-,2571.0,823,0.00%,Call,2023-12-08,45
META231208C00310000,2023-12-08 10:43AM EST,310.0,18.67,19.25,19.8,1.4,+8.11%,68.0,343,0.00%,Call,2023-12-08,46
META231208C00312500,2023-12-08 10:37AM EST,312.5,17.2,17.1,17.5,2.9,+20.28%,46.0,1205,0.00%,Call,2023-12-08,47
META231208C00315000,2023-12-08 10:37AM EST,315.0,13.9,14.35,14.9,2.03,+17.10%,69.0,1693,0.00%,Call,2023-12-08,48
META231208C00317500,2023-12-08 10:51AM EST,317.5,12.0,11.9,12.65,2.55,+26.98%,1582.0,1904,41.80%,Call,2023-12-08,49
META231208C00320000,2023-12-08 10:56AM EST,320.0,9.82,9.65,10.05,2.42,+32.70%,2244.0,3172,24.22%,Call,2023-12-08,50
META231208C00322500,2023-12-08 10:47AM EST,322.5,6.76,7.2,7.5,1.66,+32.55%,2698.0,1760,0.00%,Call,2023-12-08,51
META231208C00325000,2023-12-08 10:54AM EST,325.0,5.0,4.55,4.95,1.62,+47.93%,4797.0,6362,0.00%,Call,2023-12-08,52
META231208C00327500,2023-12-08 10:54AM EST,327.5,2.75,2.5,2.62,0.87,+46.28%,9627.0,3037,11.04%,Call,2023-12-08,53
META231208C00330000,2023-12-08 10:56AM EST,330.0,1.2,1.1,1.15,0.09,+8.11%,14788.0,9365,16.41%,Call,2023-12-08,54
META231208C00332500,2023-12-08 10:55AM EST,332.5,0.44,0.35,0.38,-0.16,-26.67%,16541.0,5784,17.92%,Call,2023-12-08,55
META231208C00335000,2023-12-08 10:55AM EST,335.0,0.13,0.13,0.15,-0.2,-60.61%,6415.0,5333,21.09%,Call,2023-12-08,56
META231208C00337500,2023-12-08 10:49AM EST,337.5,0.04,0.04,0.06,-0.14,-77.78%,6610.0,6010,23.83%,Call,2023-12-08,57
META231208C00340000,2023-12-08 10:51AM EST,340.0,0.03,0.03,0.04,-0.07,-70.00%,603.0,5180,28.13%,Call,2023-12-08,58
META231208C00342500,2023-12-08 10:41AM EST,342.5,0.02,0.01,0.02,-0.05,-71.43%,746.0,2769,30.86%,Call,2023-12-08,59
META231208C00345000,2023-12-08 10:36AM EST,345.0,0.01,0.01,0.02,-0.03,-75.00%,2017.0,5681,35.94%,Call,2023-12-08,60
META231208C00347500,2023-12-08 10:37AM EST,347.5,0.01,0.01,0.02,-0.01,-50.00%,435.0,2240,41.02%,Call,2023-12-08,61
META231208C00350000,2023-12-08 10:54AM EST,350.0,0.01,0.0,0.01,0.0,-,80.0,2782,42.19%,Call,2023-12-08,62
META231208C00352500,2023-12-08 10:31AM EST,352.5,0.01,0.0,0.01,0.0,-,343.0,1949,46.88%,Call,2023-12-08,63
META231208C00355000,2023-12-07 3:27PM EST,355.0,0.01,0.0,0.01,0.0,-,482.0,2921,51.56%,Call,2023-12-08,64
META231208C00357500,2023-12-08 9:30AM EST,357.5,0.01,0.0,0.01,0.0,-,24.0,963,53.13%,Call,2023-12-08,65
META231208C00360000,2023-12-07 3:36PM EST,360.0,0.01,0.0,0.01,0.0,-,37.0,3397,56.25%,Call,2023-12-08,66
META231208C00362500,2023-12-07 10:51AM EST,362.5,0.01,0.0,0.01,0.0,-,40.0,660,60.94%,Call,2023-12-08,67
META231208C00365000,2023-12-08 10:09AM EST,365.0,0.01,0.0,0.01,0.0,-,10.0,2031,65.63%,Call,2023-12-08,68
META231208C00367500,2023-12-05 1:51PM EST,367.5,0.01,0.0,0.01,0.0,-,91.0,772,68.75%,Call,2023-12-08,69
META231208C00370000,2023-12-07 2:56PM EST,370.0,0.01,0.0,0.01,0.0,-,15.0,2537,71.88%,Call,2023-12-08,70
META231208C00372500,2023-12-05 10:10AM EST,372.5,0.01,0.0,0.01,0.0,-,21.0,249,76.56%,Call,2023-12-08,71
META231208C00375000,2023-12-07 3:29PM EST,375.0,0.01,0.0,0.01,0.0,-,32.0,980,81.25%,Call,2023-12-08,72
META231208C00377500,2023-12-01 11:57AM EST,377.5,0.01,0.0,0.01,0.0,-,125.0,130,84.38%,Call,2023-12-08,73
META231208C00382500,2023-12-01 10:05AM EST,382.5,0.01,0.0,0.01,0.0,-,30.0,226,90.63%,Call,2023-12-08,75
META231208C00390000,2023-12-07 9:40AM EST,390.0,0.01,0.0,0.01,0.0,-,4.0,632,103.13%,Call,2023-12-08,78
META231208C00395000,2023-11-29 11:10AM EST,395.0,0.01,0.0,0.01,0.0,-,200.0,438,109.38%,Call,2023-12-08,79
META231208C00400000,2023-11-28 11:03AM EST,400.0,0.02,0.0,0.01,0.0,-,61.0,146,115.63%,Call,2023-12-08,80
META231208C00405000,2023-11-27 10:38AM EST,405.0,0.01,0.0,0.01,0.0,-,389.0,454,125.00%,Call,2023-12-08,81
META231208C00415000,2023-11-13 11:22AM EST,415.0,0.04,0.0,0.01,0.0,-,4.0,6,137.50%,Call,2023-12-08,83
META231208C00425000,2023-11-17 2:31PM EST,425.0,0.03,0.0,0.01,0.0,-,6.0,13,150.00%,Call,2023-12-08,84
META231208P00110000,2023-12-04 10:34AM EST,110.0,0.01,0.0,0.01,0.0,-,10.0,11,612.50%,Put,2023-12-08,86
META231208P00170000,2023-11-01 8:48AM EST,170.0,0.04,0.0,0.0,0.0,-,4.0,5,50.00%,Put,2023-12-08,87
META231208P00180000,2023-12-06 3:32PM EST,180.0,0.01,0.0,0.01,0.0,-,90.0,92,350.00%,Put,2023-12-08,88
META231208P00190000,2023-11-15 12:17PM EST,190.0,0.01,0.0,0.01,0.0,-,3.0,21,318.75%,Put,2023-12-08,89
META231208P00200000,2023-11-22 9:51AM EST,200.0,0.01,0.0,0.01,0.0,-,2.0,4,287.50%,Put,2023-12-08,91
META231208P00205000,2023-12-01 9:31AM EST,205.0,0.01,0.0,0.01,0.0,-,2.0,45,275.00%,Put,2023-12-08,92
META231208P00225000,2023-11-21 3:43PM EST,225.0,0.01,0.0,0.01,0.0,-,3.0,14,225.00%,Put,2023-12-08,96
META231208P00230000,2023-12-01 1:36PM EST,230.0,0.01,0.0,0.01,0.0,-,7.0,653,212.50%,Put,2023-12-08,97
META231208P00245000,2023-12-05 11:45AM EST,245.0,0.01,0.0,0.01,0.0,-,6.0,580,178.13%,Put,2023-12-08,100
META231208P00250000,2023-12-07 11:33AM EST,250.0,0.01,0.0,0.01,0.0,-,2.0,216,168.75%,Put,2023-12-08,101
META231208P00255000,2023-12-06 2:35PM EST,255.0,0.01,0.0,0.01,0.0,-,53.0,1189,156.25%,Put,2023-12-08,102
META231208P00270000,2023-12-07 11:29AM EST,270.0,0.01,0.0,0.01,0.0,-,3.0,4575,125.00%,Put,2023-12-08,105
META231208P00275000,2023-12-07 9:42AM EST,275.0,0.02,0.0,0.01,0.0,-,13.0,3686,112.50%,Put,2023-12-08,106
META231208P00277500,2023-12-07 9:54AM EST,277.5,0.01,0.0,0.01,0.0,-,6.0,370,106.25%,Put,2023-12-08,107
META231208P00280000,2023-12-07 12:59PM EST,280.0,0.01,0.0,0.01,0.0,-,114.0,675,103.13%,Put,2023-12-08,108
META231208P00282500,2023-12-07 3:54PM EST,282.5,0.01,0.0,0.01,0.0,-,202.0,873,96.88%,Put,2023-12-08,109
META231208P00285000,2023-12-08 10:07AM EST,285.0,0.01,0.0,0.01,0.0,-,90.0,1762,93.75%,Put,2023-12-08,110
