Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Type,Maturity,index
MSFT231208C00190000,2023-12-07 3:55PM EST,190.0,180.95,182.8,183.0,0.0,-,6.0,3,567.19%,Call,2023-12-08,2
MSFT231208C00235000,2023-11-14 3:16PM EST,235.0,135.42,137.6,138.35,0.0,-,6.0,11,415.04%,Call,2023-12-08,4
MSFT231208C00240000,2023-12-04 1:22PM EST,240.0,128.7,132.0,133.25,0.0,-,20.0,12,303.13%,Call,2023-12-08,5
MSFT231208C00265000,2023-11-27 1:42PM EST,265.0,115.1,107.65,108.8,0.0,-,6.0,23,344.34%,Call,2023-12-08,9
MSFT231208C00310000,2023-12-08 10:27AM EST,310.0,62.67,62.25,63.45,0.24,+0.38%,4.0,4,175.59%,Call,2023-12-08,18
MSFT231208C00320000,2023-12-08 10:30AM EST,320.0,52.65,52.35,53.35,1.35,+2.63%,5.0,87,149.41%,Call,2023-12-08,20
MSFT231208C00325000,2023-12-01 12:32PM EST,325.0,49.08,47.1,48.3,0.0,-,16.0,21,119.92%,Call,2023-12-08,21
MSFT231208C00327500,2023-12-07 11:27AM EST,327.5,41.07,44.65,45.7,0.0,-,21.0,21,110.55%,Call,2023-12-08,22
MSFT231208C00335000,2023-12-07 3:54PM EST,335.0,36.11,37.5,38.45,0.0,-,12.0,31,118.65%,Call,2023-12-08,24
MSFT231208C00337500,2023-12-07 10:28AM EST,337.5,32.1,35.4,35.85,0.0,-,10.0,13,119.53%,Call,2023-12-08,25
MSFT231208C00342500,2023-12-08 10:18AM EST,342.5,30.7,29.95,31.05,2.4,+8.48%,3.0,23,99.41%,Call,2023-12-08,27
MSFT231208C00345000,2023-12-08 10:31AM EST,345.0,27.42,27.75,28.85,1.07,+4.06%,114.0,873,104.69%,Call,2023-12-08,28
MSFT231208C00347500,2023-12-07 3:57PM EST,347.5,23.05,25.5,26.0,-0.65,-2.74%,3.0,46,95.41%,Call,2023-12-08,29
MSFT231208C00350000,2023-12-08 10:56AM EST,350.0,23.2,22.95,23.8,2.4,+11.54%,13.0,392,91.89%,Call,2023-12-08,30
MSFT231208C00352500,2023-12-08 9:54AM EST,352.5,17.5,20.4,20.9,-0.89,-4.84%,3.0,164,76.95%,Call,2023-12-08,31
MSFT231208C00355000,2023-12-08 10:30AM EST,355.0,17.7,17.6,18.0,1.37,+8.39%,45.0,460,55.76%,Call,2023-12-08,32
MSFT231208C00360000,2023-12-08 10:52AM EST,360.0,12.4,12.65,13.05,1.13,+10.03%,46.0,2632,51.22%,Call,2023-12-08,34
MSFT231208C00362500,2023-12-08 10:54AM EST,362.5,10.5,10.55,10.95,1.8,+20.69%,14.0,350,52.95%,Call,2023-12-08,35
MSFT231208C00365000,2023-12-08 10:49AM EST,365.0,6.55,8.05,8.25,0.05,+0.77%,289.0,1678,39.99%,Call,2023-12-08,36
MSFT231208C00367500,2023-12-08 10:54AM EST,367.5,5.5,5.6,5.85,1.39,+33.82%,636.0,1551,32.84%,Call,2023-12-08,37
MSFT231208C00370000,2023-12-08 10:55AM EST,370.0,3.35,3.1,3.2,0.87,+35.08%,5043.0,4952,20.41%,Call,2023-12-08,38
MSFT231208C00372500,2023-12-08 10:56AM EST,372.5,1.37,1.32,1.34,0.07,+5.38%,7310.0,6857,16.68%,Call,2023-12-08,39
MSFT231208C00375000,2023-12-08 10:56AM EST,375.0,0.35,0.36,0.38,-0.27,-43.55%,6887.0,12231,15.72%,Call,2023-12-08,40
MSFT231208C00377500,2023-12-08 10:55AM EST,377.5,0.07,0.06,0.07,-0.2,-74.07%,2513.0,6776,15.63%,Call,2023-12-08,41
MSFT231208C00380000,2023-12-08 10:54AM EST,380.0,0.01,0.01,0.02,-0.1,-90.91%,2016.0,8729,17.58%,Call,2023-12-08,42
MSFT231208C00382500,2023-12-08 10:53AM EST,382.5,0.01,0.0,0.01,-0.05,-83.33%,536.0,4400,20.70%,Call,2023-12-08,43
MSFT231208C00385000,2023-12-08 10:52AM EST,385.0,0.01,0.0,0.01,-0.03,-75.00%,322.0,6555,25.00%,Call,2023-12-08,44
MSFT231208C00387500,2023-12-08 10:24AM EST,387.5,0.01,0.0,0.01,-0.01,-50.00%,73.0,1939,29.69%,Call,2023-12-08,45
MSFT231208C00390000,2023-12-08 10:52AM EST,390.0,0.02,0.0,0.01,0.0,-,175.0,6485,33.59%,Call,2023-12-08,46
MSFT231208C00392500,2023-12-08 9:44AM EST,392.5,0.01,0.0,0.01,-0.01,-50.00%,13.0,2074,37.50%,Call,2023-12-08,47
MSFT231208C00395000,2023-12-08 10:52AM EST,395.0,0.01,0.0,0.01,-0.01,-50.00%,42.0,2624,42.19%,Call,2023-12-08,48
MSFT231208C00397500,2023-12-08 10:50AM EST,397.5,0.01,0.0,0.01,0.0,-,237.0,2177,46.09%,Call,2023-12-08,49
MSFT231208C00400000,2023-12-08 10:06AM EST,400.0,0.01,0.0,0.01,0.0,-,343.0,5506,50.00%,Call,2023-12-08,50
MSFT231208C00405000,2023-12-07 3:55PM EST,405.0,0.01,0.0,0.01,0.0,-,44.0,3410,53.13%,Call,2023-12-08,51
MSFT231208C00410000,2023-12-07 1:53PM EST,410.0,0.01,0.0,0.01,0.0,-,6.0,2566,60.94%,Call,2023-12-08,52
MSFT231208C00435000,2023-12-01 1:10PM EST,435.0,0.01,0.0,0.01,0.0,-,80.0,230,93.75%,Call,2023-12-08,57
MSFT231208C00440000,2023-11-29 3:02PM EST,440.0,0.01,0.0,0.01,0.0,-,116.0,134,100.00%,Call,2023-12-08,58
MSFT231208C00450000,2023-11-30 9:55AM EST,450.0,0.01,0.0,0.01,0.0,-,16.0,47,112.50%,Call,2023-12-08,60
MSFT231208C00465000,2023-11-21 12:03PM EST,465.0,0.02,0.0,0.01,0.0,-,60.0,82,131.25%,Call,2023-12-08,63
MSFT231208P00240000,2023-11-10 9:56AM EST,240.0,0.02,0.0,0.01,0.0,-,50.0,54,256.25%,Put,2023-12-08,70
MSFT231208P00250000,2023-11-15 12:19PM EST,250.0,0.03,0.0,0.01,0.0,-,104.0,125,231.25%,Put,2023-12-08,72
MSFT231208P00255000,2023-12-01 3:47PM EST,255.0,0.01,0.0,0.01,0.0,-,26.0,206,218.75%,Put,2023-12-08,73
MSFT231208P00260000,2023-12-01 3:48PM EST,260.0,0.01,0.0,0.01,0.0,-,367.0,710,212.50%,Put,2023-12-08,74
MSFT231208P00270000,2023-12-04 10:37AM EST,270.0,0.01,0.0,0.01,0.0,-,8.0,774,187.50%,Put,2023-12-08,76
MSFT231208P00275000,2023-12-04 10:42AM EST,275.0,0.01,0.0,0.01,0.0,-,122.0,236,181.25%,Put,2023-12-08,77
MSFT231208P00295000,2023-12-04 2:14PM EST,295.0,0.01,0.0,0.01,0.0,-,240.0,869,140.63%,Put,2023-12-08,81
MSFT231208P00300000,2023-12-07 1:49PM EST,300.0,0.01,0.0,0.01,0.0,-,5.0,900,131.25%,Put,2023-12-08,82
MSFT231208P00320000,2023-12-06 10:53AM EST,320.0,0.01,0.0,0.01,0.0,-,65.0,652,93.75%,Put,2023-12-08,86
MSFT231208P00322500,2023-12-06 2:03PM EST,322.5,0.01,0.0,0.01,0.0,-,98.0,169,90.63%,Put,2023-12-08,87
MSFT231208P00325000,2023-12-07 3:57PM EST,325.0,0.01,0.0,0.01,0.0,-,32.0,1992,84.38%,Put,2023-12-08,88
MSFT231208P00327500,2023-12-07 9:48AM EST,327.5,0.01,0.0,0.01,0.0,-,8.0,676,81.25%,Put,2023-12-08,89
MSFT231208P00330000,2023-12-07 1:30PM EST,330.0,0.01,0.0,0.01,0.0,-,327.0,2212,76.56%,Put,2023-12-08,90
MSFT231208P00332500,2023-12-07 2:01PM EST,332.5,0.01,0.0,0.01,0.0,-,58.0,787,71.88%,Put,2023-12-08,91
MSFT231208P00337500,2023-12-08 9:35AM EST,337.5,0.01,0.0,0.01,0.0,-,68.0,599,62.50%,Put,2023-12-08,93
MSFT231208P00340000,2023-12-08 10:49AM EST,340.0,0.01,0.0,0.01,0.0,-,514.0,1359,59.38%,Put,2023-12-08,94
MSFT231208P00342500,2023-12-08 9:42AM EST,342.5,0.01,0.0,0.01,-0.01,-50.00%,110.0,483,54.69%,Put,2023-12-08,95
MSFT231208P00345000,2023-12-08 10:01AM EST,345.0,0.01,0.0,0.01,-0.01,-50.00%,213.0,1614,50.00%,Put,2023-12-08,96
MSFT231208P00347500,2023-12-08 10:19AM EST,347.5,0.01,0.0,0.01,-0.02,-66.67%,181.0,1024,49.22%,Put,2023-12-08,97
MSFT231208P00350000,2023-12-08 10:48AM EST,350.0,0.01,0.0,0.01,-0.01,-50.00%,172.0,2833,44.53%,Put,2023-12-08,98
MSFT231208P00352500,2023-12-08 10:55AM EST,352.5,0.01,0.01,0.02,-0.02,-66.67%,298.0,2353,43.36%,Put,2023-12-08,99
MSFT231208P00355000,2023-12-08 10:48AM EST,355.0,0.01,0.01,0.02,-0.02,-66.67%,191.0,3428,38.28%,Put,2023-12-08,100
MSFT231208P00357500,2023-12-08 10:39AM EST,357.5,0.02,0.01,0.02,-0.03,-60.00%,478.0,2096,33.59%,Put,2023-12-08,101
MSFT231208P00360000,2023-12-08 10:53AM EST,360.0,0.01,0.01,0.02,-0.07,-87.50%,905.0,5655,28.52%,Put,2023-12-08,102
MSFT231208P00362500,2023-12-08 10:54AM EST,362.5,0.02,0.01,0.02,-0.12,-85.71%,904.0,3093,23.44%,Put,2023-12-08,103
MSFT231208P00365000,2023-12-08 10:54AM EST,365.0,0.02,0.02,0.03,-0.28,-93.33%,3526.0,6827,19.34%,Put,2023-12-08,104
MSFT231208P00367500,2023-12-08 10:56AM EST,367.5,0.04,0.03,0.04,-0.66,-94.29%,5475.0,3704,14.55%,Put,2023-12-08,105
MSFT231208P00370000,2023-12-08 10:55AM EST,370.0,0.15,0.16,0.17,-1.37,-90.13%,7851.0,5381,12.31%,Put,2023-12-08,106
MSFT231208P00372500,2023-12-08 10:56AM EST,372.5,0.67,0.66,0.69,-2.18,-76.49%,2846.0,5616,9.40%,Put,2023-12-08,107
MSFT231208P00375000,2023-12-08 10:54AM EST,375.0,2.42,2.3,2.4,-2.05,-45.86%,565.0,2631,0.00%,Put,2023-12-08,108
MSFT231208P00377500,2023-12-08 10:53AM EST,377.5,4.87,4.5,4.85,-1.74,-26.32%,117.0,2297,0.00%,Put,2023-12-08,109
MSFT231208P00380000,2023-12-08 10:54AM EST,380.0,7.14,6.65,7.0,-2.13,-22.98%,51.0,918,0.00%,Put,2023-12-08,110
MSFT231208P00382500,2023-12-08 10:53AM EST,382.5,9.82,9.1,9.5,-2.02,-17.06%,11.0,708,0.00%,Put,2023-12-08,111
MSFT231208P00385000,2023-12-08 10:46AM EST,385.0,13.7,11.2,12.1,-0.51,-3.59%,10.0,138,0.00%,Put,2023-12-08,112
MSFT231208P00390000,2023-12-07 3:56PM EST,390.0,18.9,16.6,17.0,0.0,-,5.0,30,0.00%,Put,2023-12-08,114
MSFT231208P00392500,2023-12-06 2:31PM EST,392.5,22.75,18.85,19.8,0.0,-,25.0,6,0.00%,Put,2023-12-08,115
MSFT231208P00430000,2023-11-30 3:22PM EST,430.0,54.2,56.45,57.35,0.0,-,8.0,0,0.00%,Put,2023-12-08,121
MSFT231208P00465000,2023-11-29 11:14AM EST,465.0,85.88,91.85,92.65,0.0,-,4.0,0,196.09%,Put,2023-12-08,124
MSFT231215C00160000,2023-12-06 11:21AM EST,160.0,210.95,211.9,214.15,0.0,-,6.0,13,258.59%,Call,2023-12-15,128
MSFT231215C00165000,2023-11-01 1:14PM EST,165.0,179.4,208.75,211.45,0.0,-,10.0,7,334.67%,Call,2023-12-15,129
MSFT231215C00175000,2023-10-30 10:11AM EST,175.0,161.5,203.5,204.8,0.0,-,10.0,5,392.65%,Call,2023-12-15,131
MSFT231215C00180000,2023-11-24 10:40AM EST,180.0,196.93,192.65,193.35,0.0,-,3.0,3,223.44%,Call,2023-12-15,132
MSFT231215C00190000,2023-11-24 10:42AM EST,190.0,186.64,183.0,183.55,0.0,-,3.0,17,224.41%,Call,2023-12-15,134
MSFT231215C00200000,2023-12-06 10:27AM EST,200.0,169.5,172.55,173.3,0.0,-,4.0,249,188.48%,Call,2023-12-15,136
MSFT231215C00205000,2023-11-07 1:17PM EST,205.0,157.45,164.95,166.8,0.0,-,10.0,22,0.00%,Call,2023-12-15,137
MSFT231215C00220000,2023-11-14 11:33AM EST,220.0,151.16,152.6,153.75,0.0,-,29.0,16,175.88%,Call,2023-12-15,140
MSFT231215C00225000,2023-11-14 12:02PM EST,225.0,144.33,147.45,148.65,0.0,-,50.0,21,163.18%,Call,2023-12-15,141
MSFT231215C00235000,2023-12-05 3:08PM EST,235.0,138.0,137.6,138.95,0.0,-,10.0,74,160.25%,Call,2023-12-15,143
MSFT231215C00250000,2023-12-04 1:10PM EST,250.0,119.65,122.7,123.8,0.0,-,5.0,283,140.43%,Call,2023-12-15,146
MSFT231215C00255000,2023-12-07 10:04AM EST,255.0,112.31,117.65,119.05,0.0,-,3.0,175,137.60%,Call,2023-12-15,147
MSFT231215C00260000,2023-12-07 9:32AM EST,260.0,109.12,112.5,114.15,0.0,-,4.0,298,130.76%,Call,2023-12-15,148
MSFT231215C00280000,2023-12-05 11:47AM EST,280.0,91.47,92.55,93.65,0.0,-,10.0,152,100.88%,Call,2023-12-15,152
MSFT231215C00285000,2023-12-07 12:16PM EST,285.0,85.35,87.45,88.45,-0.95,-1.10%,4.0,243,90.28%,Call,2023-12-15,153
MSFT231215C00300000,2023-12-08 10:15AM EST,300.0,72.73,72.75,73.75,3.78,+5.48%,17.0,4342,83.55%,Call,2023-12-15,156
MSFT231215C00310000,2023-12-08 10:27AM EST,310.0,62.96,63.05,64.05,1.73,+2.83%,9.0,1434,78.66%,Call,2023-12-15,158
MSFT231215C00315000,2023-12-08 10:40AM EST,315.0,56.8,57.5,58.55,-0.6,-1.05%,10.0,3049,62.60%,Call,2023-12-15,159
MSFT231215C00320000,2023-12-08 10:30AM EST,320.0,53.05,52.75,53.75,1.65,+3.21%,113.0,4951,62.43%,Call,2023-12-15,160
MSFT231215C00325000,2023-12-08 10:55AM EST,325.0,48.27,48.1,48.8,2.06,+4.46%,9.0,8230,60.55%,Call,2023-12-15,161
MSFT231215C00330000,2023-12-08 10:09AM EST,330.0,42.43,42.85,43.45,0.73,+1.75%,70.0,6746,50.29%,Call,2023-12-15,162
MSFT231215C00335000,2023-12-08 10:23AM EST,335.0,38.11,38.2,38.75,1.53,+4.18%,16.0,12148,50.07%,Call,2023-12-15,163
MSFT231215C00337500,2023-12-06 3:14PM EST,337.5,32.55,34.7,36.0,0.0,-,6.0,11,47.66%,Call,2023-12-15,164
MSFT231215C00340000,2023-12-08 10:47AM EST,340.0,31.6,33.2,33.65,0.1,+0.32%,38.0,6337,46.70%,Call,2023-12-15,165
MSFT231215C00342500,2023-12-07 12:02PM EST,342.5,28.65,30.6,31.65,0.0,-,3.0,59,48.90%,Call,2023-12-15,166
MSFT231215C00345000,2023-12-08 10:42AM EST,345.0,26.78,28.25,28.85,0.21,+0.79%,116.0,6524,43.07%,Call,2023-12-15,167
MSFT231215C00347500,2023-12-08 10:29AM EST,347.5,25.85,25.5,26.15,1.28,+5.21%,12.0,12,38.16%,Call,2023-12-15,168
MSFT231215C00350000,2023-12-08 10:37AM EST,350.0,22.3,23.6,23.9,0.74,+3.43%,54.0,15480,37.57%,Call,2023-12-15,169
MSFT231215C00352500,2023-12-07 10:49AM EST,352.5,17.21,20.8,21.45,0.0,-,10.0,60,34.96%,Call,2023-12-15,170
MSFT231215C00355000,2023-12-08 10:29AM EST,355.0,18.44,18.55,19.4,1.33,+7.77%,53.0,6555,35.24%,Call,2023-12-15,171
MSFT231215C00357500,2023-12-08 10:07AM EST,357.5,15.28,15.9,16.8,0.53,+3.59%,9.0,116,31.24%,Call,2023-12-15,172
